Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-0 (46).jpg,,,SHARPV03090,,12/2/2019 6:00,,No,PG4 East Entry
IAWB62,C:\Users\gerardo\Documents\Image0-1 (16).jpg,C:\Users\gerardo\Documents\Image1-1 (46).jpg,,,SHARP30836,,12/2/2019 6:00,,No,PG4 West Entry
BIRS62,C:\Users\gerardo\Documents\Image0-2 (18).jpg,C:\Users\gerardo\Documents\Image1-2 (46).jpg,,,SHARP30836,,12/2/2019 6:02,,No,PG4 West Entry
LJIR06,C:\Users\gerardo\Documents\Image0-3 (15).jpg,C:\Users\gerardo\Documents\Image1-3 (46).jpg,,,SHARP30836,,12/2/2019 6:02,,No,PG4 West Entry
JNTA12,C:\Users\gerardo\Documents\Image0-4 (16).jpg,C:\Users\gerardo\Documents\Image1-4 (46).jpg,,,SHARP30836,,12/2/2019 6:02,,No,PG4 West Entry
IPIG41,C:\Users\gerardo\Documents\Image0-5 (18).jpg,C:\Users\gerardo\Documents\Image1-5 (46).jpg,,,SHARP30836,,12/2/2019 6:03,,No,PG4 West Entry
YH130,C:\Users\gerardo\Documents\Image0-6 (14).jpg,C:\Users\gerardo\Documents\Image1-6 (46).jpg,,,SHARP30836,,12/2/2019 6:12,,No,PG4 West Entry
YE934,C:\Users\gerardo\Documents\Image0-7 (16).jpg,C:\Users\gerardo\Documents\Image1-7 (46).jpg,,,SHARP30834,,12/2/2019 6:13,,No,PG4 West Exit
HCLF76,C:\Users\gerardo\Documents\Image0-8 (14).jpg,C:\Users\gerardo\Documents\Image1-8 (46).jpg,,,SHARP30836,,12/2/2019 6:14,,No,PG4 West Entry
GNUU41,C:\Users\gerardo\Documents\Image0-9 (15).jpg,C:\Users\gerardo\Documents\Image1-9 (46).jpg,,,SHARP30836,,12/2/2019 6:16,,No,PG4 West Entry
LSAB36,C:\Users\gerardo\Documents\Image0-10 (14).jpg,C:\Users\gerardo\Documents\Image1-10 (46).jpg,,,SHARPV03090,,12/2/2019 6:16,,No,PG4 East Entry
Z80CFH,C:\Users\gerardo\Documents\Image0-11 (13).jpg,C:\Users\gerardo\Documents\Image1-11 (46).jpg,,,SHARPV03090,,12/2/2019 6:17,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-12 (45).jpg,,,SHARPV03090,,12/2/2019 6:17,,No,PG4 East Entry
AKHP83,C:\Users\gerardo\Documents\Image0-13 (15).jpg,C:\Users\gerardo\Documents\Image1-13 (45).jpg,,,SHARP30834,,12/2/2019 6:18,,No,PG4 West Exit
JQMI76,C:\Users\gerardo\Documents\Image0-14 (15).jpg,C:\Users\gerardo\Documents\Image1-14 (45).jpg,,,SHARP30834,,12/2/2019 6:18,,No,PG4 West Exit
JYFN14,C:\Users\gerardo\Documents\Image0-15 (15).jpg,C:\Users\gerardo\Documents\Image1-15 (45).jpg,,,SHARP30836,,12/2/2019 6:20,,No,PG4 West Entry
DUXW99,C:\Users\gerardo\Documents\Image0-16 (15).jpg,C:\Users\gerardo\Documents\Image1-16 (45).jpg,,,SHARPV03090,,12/2/2019 6:20,,No,PG4 East Entry
