Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
947YIZ,C:\Users\gerardo\Documents\Image0-0 (56).jpg,C:\Users\gerardo\Documents\Image1-0 (56).jpg,,,SHARPXS0865,,12/4/2019 6:00:12 AM,,No,PG2 SE (Center) Entry
HHVP04,C:\Users\gerardo\Documents\Image0-1 (26).jpg,C:\Users\gerardo\Documents\Image1-1 (56).jpg,,,SHARPXS0865,,12/4/2019 6:07:40 AM,,No,PG2 SE (Center) Entry
ASMZ08,C:\Users\gerardo\Documents\Image0-2 (28).jpg,C:\Users\gerardo\Documents\Image1-2 (56).jpg,,,SHARPXS0865,,12/4/2019 6:20:48 AM,,No,PG2 SE (Center) Entry
YJ788,C:\Users\gerardo\Documents\Image0-3 (25).jpg,C:\Users\gerardo\Documents\Image1-3 (56).jpg,,,SHARPXS0821,,12/4/2019 6:21:43 AM,,No,PG2 NW (Center) Exit
IVGS74,C:\Users\gerardo\Documents\Image0-4 (26).jpg,C:\Users\gerardo\Documents\Image1-4 (56).jpg,,,SHARPXS0822,,12/4/2019 6:22:53 AM,,No,PG2 NW Entry
LNPG16,C:\Users\gerardo\Documents\Image0-5 (27).jpg,C:\Users\gerardo\Documents\Image1-5 (56).jpg,,,SHARPXS0865,,12/4/2019 6:23:34 AM,,No,PG2 SE (Center) Entry
IZUZ22,C:\Users\gerardo\Documents\Image0-6 (23).jpg,C:\Users\gerardo\Documents\Image1-6 (56).jpg,,,SHARPXS0865,,12/4/2019 6:25:42 AM,,No,PG2 SE (Center) Entry
GWZZ78,C:\Users\gerardo\Documents\Image0-7 (25).jpg,C:\Users\gerardo\Documents\Image1-7 (56).jpg,,,SHARPXS0865,,12/4/2019 6:36:02 AM,,No,PG2 SE (Center) Entry
HFMR63,C:\Users\gerardo\Documents\Image0-8 (24).jpg,C:\Users\gerardo\Documents\Image1-8 (56).jpg,,,SHARPXS0822,,12/4/2019 6:36:51 AM,,No,PG2 NW Entry
HDUC51,C:\Users\gerardo\Documents\Image0-9 (25).jpg,C:\Users\gerardo\Documents\Image1-9 (56).jpg,,,SHARPXS0865,,12/4/2019 6:38:37 AM,,No,PG2 SE (Center) Entry
HVDM65,C:\Users\gerardo\Documents\Image0-10 (22).jpg,C:\Users\gerardo\Documents\Image1-10 (56).jpg,,,SHARPXS0865,,12/4/2019 6:41:44 AM,,No,PG2 SE Entry
EMFM95,C:\Users\gerardo\Documents\Image0-11 (22).jpg,C:\Users\gerardo\Documents\Image1-11 (56).jpg,,,SHARPXS0865,,12/4/2019 6:42:50 AM,,No,PG2 SE (Center) Entry
GUXZ03,C:\Users\gerardo\Documents\Image0-12 (23).jpg,C:\Users\gerardo\Documents\Image1-12 (55).jpg,,,SHARPXS0822,,12/4/2019 6:46:00 AM,,No,PG2 NW Entry
DQKK30,C:\Users\gerardo\Documents\Image0-13 (25).jpg,C:\Users\gerardo\Documents\Image1-13 (55).jpg,,,SHARPXS0822,,12/4/2019 6:46:53 AM,,No,PG2 NW Entry
CQWF79,C:\Users\gerardo\Documents\Image0-14 (25).jpg,C:\Users\gerardo\Documents\Image1-14 (55).jpg,,,SHARPXS0865,,12/4/2019 6:48:11 AM,,No,PG2 SE (Center) Entry
