Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
ICTS66,C:\Users\gerardo\Documents\Image0-0 (61).jpg,C:\Users\gerardo\Documents\Image1-0 (61).jpg,,,SHARPXS1385,,12/5/2019 6:01:15 AM,,No,PG1 SW Entry
BTTV96,C:\Users\gerardo\Documents\Image0-1 (31).jpg,C:\Users\gerardo\Documents\Image1-1 (61).jpg,,,SHARPXS0832,,12/5/2019 6:01:17 AM,,No,PG1 East (Center) Entry
9584YD,C:\Users\gerardo\Documents\Image0-2 (33).jpg,C:\Users\gerardo\Documents\Image1-2 (61).jpg,,,SHARPXS0831,,12/5/2019 6:02:03 AM,,No,PG1 East Exit
BLEY18,C:\Users\gerardo\Documents\Image0-3 (30).jpg,C:\Users\gerardo\Documents\Image1-3 (61).jpg,,,SHARPXS0832,,12/5/2019 6:03:26 AM,,No,PG1 East (Center) Entry
I51CA,C:\Users\gerardo\Documents\Image0-4 (31).jpg,C:\Users\gerardo\Documents\Image1-4 (61).jpg,,,SHARPXS0832,,12/5/2019 6:07:13 AM,,No,PG1 East (Center) Entry
IJNE83,C:\Users\gerardo\Documents\Image0-5 (32).jpg,C:\Users\gerardo\Documents\Image1-5 (61).jpg,,,SHARPXS0832,,12/5/2019 6:09:47 AM,,No,PG1 East (Center) Entry
JNUC15,C:\Users\gerardo\Documents\Image0-6 (28).jpg,C:\Users\gerardo\Documents\Image1-6 (61).jpg,,,SHARPXS0832,,12/5/2019 6:10:03 AM,,No,PG1 East Entry
LITH55,C:\Users\gerardo\Documents\Image0-7 (30).jpg,C:\Users\gerardo\Documents\Image1-7 (61).jpg,,,SHARPXS0831,,12/5/2019 6:12:16 AM,,No,PG1 East Exit
HWMF86,C:\Users\gerardo\Documents\Image0-8 (28).jpg,C:\Users\gerardo\Documents\Image1-8 (61).jpg,,,SHARPXS0832,,12/5/2019 6:13:11 AM,,No,PG1 East Entry
I27BN,C:\Users\gerardo\Documents\Image0-9 (29).jpg,C:\Users\gerardo\Documents\Image1-9 (61).jpg,,,SHARPXS0832,,12/5/2019 6:15:35 AM,,No,PG1 East (Center) Entry
KXLT25,C:\Users\gerardo\Documents\Image0-10 (26).jpg,C:\Users\gerardo\Documents\Image1-10 (61).jpg,,,SHARPXS0832,,12/5/2019 6:16:00 AM,,No,PG1 East (Center) Entry
ERUR34,C:\Users\gerardo\Documents\Image0-11 (27).jpg,C:\Users\gerardo\Documents\Image1-11 (61).jpg,,,SHARPXS0832,,12/5/2019 6:16:55 AM,,No,PG1 East Entry
KWZL28,C:\Users\gerardo\Documents\Image0-12 (27).jpg,C:\Users\gerardo\Documents\Image1-12 (60).jpg,,,SHARPXS0832,,12/5/2019 6:17:01 AM,,No,PG1 East (Center) Entry
X86ND,C:\Users\gerardo\Documents\Image0-13 (30).jpg,C:\Users\gerardo\Documents\Image1-13 (60).jpg,,,SHARPXS0832,,12/5/2019 6:18:17 AM,,No,PG1 East (Center) Entry
GXND01,C:\Users\gerardo\Documents\Image0-14 (30).jpg,C:\Users\gerardo\Documents\Image1-14 (60).jpg,,,SHARPXS0832,,12/5/2019 6:20:09 AM,,No,PG1 East Entry
I33CB,C:\Users\gerardo\Documents\Image0-15 (28).jpg,C:\Users\gerardo\Documents\Image1-15 (60).jpg,,,SHARPXS0832,,12/5/2019 6:20:17 AM,,No,PG1 East Entry
EMD4471,C:\Users\gerardo\Documents\Image0-16 (29).jpg,C:\Users\gerardo\Documents\Image1-16 (60).jpg,,,SHARPXS0832,,12/5/2019 6:20:47 AM,,No,PG1 East (Center) Entry
LTQE97,C:\Users\gerardo\Documents\Image0-17 (28).jpg,C:\Users\gerardo\Documents\Image1-17 (60).jpg,,,SHARPXS0832,,12/5/2019 6:21:09 AM,,No,PG1 East (Center) Entry
572TCK,C:\Users\gerardo\Documents\Image0-18 (31).jpg,C:\Users\gerardo\Documents\Image1-18 (60).jpg,,,SHARPXS0832,,12/5/2019 6:23:14 AM,,No,PG1 East (Center) Entry
EPIA43,C:\Users\gerardo\Documents\Image0-19 (27).jpg,C:\Users\gerardo\Documents\Image1-19 (60).jpg,,,SHARPXS0832,,12/5/2019 6:23:55 AM,,No,PG1 East (Center) Entry
JGLK68,C:\Users\gerardo\Documents\Image0-20 (31).jpg,C:\Users\gerardo\Documents\Image1-20 (60).jpg,,,SHARPXS0832,,12/5/2019 6:25:16 AM,,No,PG1 East (Center) Entry
AYYG12,C:\Users\gerardo\Documents\Image0-21 (28).jpg,C:\Users\gerardo\Documents\Image1-21 (60).jpg,,,SHARPXS0832,,12/5/2019 6:25:56 AM,,No,PG1 East (Center) Entry
JYXH59,C:\Users\gerardo\Documents\Image0-22 (31).jpg,C:\Users\gerardo\Documents\Image1-22 (60).jpg,,,SHARPXS1385,,12/5/2019 6:26:41 AM,,No,PG1 SW (Center) Entry
LXTA24,C:\Users\gerardo\Documents\Image0-23 (28).jpg,C:\Users\gerardo\Documents\Image1-23 (60).jpg,,,SHARPXS0832,,12/5/2019 6:26:42 AM,,No,PG1 East Entry
JWIV51,C:\Users\gerardo\Documents\Image0-24 (27).jpg,C:\Users\gerardo\Documents\Image1-24 (60).jpg,,,SHARPXS0832,,12/5/2019 6:27:14 AM,,No,PG1 East (Center) Entry
EKBD61,C:\Users\gerardo\Documents\Image0-25 (26).jpg,C:\Users\gerardo\Documents\Image1-25 (60).jpg,,,SHARPXS0832,,12/5/2019 6:27:17 AM,,No,PG1 East (Center) Entry
IAVE06,C:\Users\gerardo\Documents\Image0-26 (29).jpg,C:\Users\gerardo\Documents\Image1-26 (60).jpg,,,SHARPXS0832,,12/5/2019 6:28:10 AM,,No,PG1 East (Center) Entry
IITK92,C:\Users\gerardo\Documents\Image0-27 (30).jpg,C:\Users\gerardo\Documents\Image1-27 (60).jpg,,,SHARPXS1386,,12/5/2019 6:28:34 AM,,No,PG1 SW Exit
DJRH34,C:\Users\gerardo\Documents\Image0-28 (28).jpg,C:\Users\gerardo\Documents\Image1-28 (60).jpg,,,SHARPXS0832,,12/5/2019 6:28:39 AM,,No,PG1 East Entry
HXXE32,C:\Users\gerardo\Documents\Image0-29 (27).jpg,C:\Users\gerardo\Documents\Image1-29 (60).jpg,,,SHARPXS0832,,12/5/2019 6:28:45 AM,,No,PG1 East (Center) Entry
HIKI65,C:\Users\gerardo\Documents\Image0-30 (27).jpg,C:\Users\gerardo\Documents\Image1-30 (60).jpg,,,SHARPXS0832,,12/5/2019 6:29:49 AM,,No,PG1 East (Center) Entry
648TCJ,C:\Users\gerardo\Documents\Image0-31 (29).jpg,C:\Users\gerardo\Documents\Image1-31 (60).jpg,,,SHARPXS0832,,12/5/2019 6:29:57 AM,,No,PG1 East (Center) Entry
EHPX46,C:\Users\gerardo\Documents\Image0-32 (31).jpg,C:\Users\gerardo\Documents\Image1-32 (59).jpg,,,SHARPXS0832,,12/5/2019 6:30:51 AM,,No,PG1 East Entry
BMUI38,C:\Users\gerardo\Documents\Image0-33 (29).jpg,C:\Users\gerardo\Documents\Image1-33 (59).jpg,,,SHARPXS0832,,12/5/2019 6:30:54 AM,,No,PG1 East (Center) Entry
JQKA40,C:\Users\gerardo\Documents\Image0-34 (29).jpg,C:\Users\gerardo\Documents\Image1-34 (58).jpg,,,SHARPXS0832,,12/5/2019 6:31:29 AM,,No,PG1 East (Center) Entry
GXJR44,C:\Users\gerardo\Documents\Image0-35 (31).jpg,C:\Users\gerardo\Documents\Image1-35 (58).jpg,,,SHARPXS0832,,12/5/2019 6:32:32 AM,,No,PG1 East Entry
DMEJ87,C:\Users\gerardo\Documents\Image0-36 (27).jpg,C:\Users\gerardo\Documents\Image1-36 (58).jpg,,,SHARPXS1385,,12/5/2019 6:33:12 AM,,No,PG1 SW Entry
HDTF89,C:\Users\gerardo\Documents\Image0-37 (28).jpg,C:\Users\gerardo\Documents\Image1-37 (58).jpg,,,SHARPXS0832,,12/5/2019 6:33:26 AM,,No,PG1 East (Center) Entry
BQWJ55,C:\Users\gerardo\Documents\Image0-38 (29).jpg,C:\Users\gerardo\Documents\Image1-38 (58).jpg,,,SHARPXS0832,,12/5/2019 6:33:38 AM,,No,PG1 East Entry
GIQS79,C:\Users\gerardo\Documents\Image0-39 (27).jpg,C:\Users\gerardo\Documents\Image1-39 (58).jpg,,,SHARPXS0832,,12/5/2019 6:33:42 AM,,No,PG1 East (Center) Entry
GXJR44,C:\Users\gerardo\Documents\Image0-40 (31).jpg,C:\Users\gerardo\Documents\Image1-40 (58).jpg,,,SHARPXS1386,,12/5/2019 6:33:54 AM,,No,PG1 SW Exit
LTPW80,C:\Users\gerardo\Documents\Image0-41 (27).jpg,C:\Users\gerardo\Documents\Image1-41 (58).jpg,,,SHARPXS0832,,12/5/2019 6:33:58 AM,,No,PG1 East Entry
IXBM60,C:\Users\gerardo\Documents\Image0-42 (28).jpg,C:\Users\gerardo\Documents\Image1-42 (58).jpg,,,SHARPXS0832,,12/5/2019 6:34:28 AM,,No,PG1 East (Center) Entry
BQWJ55,C:\Users\gerardo\Documents\Image0-43 (31).jpg,C:\Users\gerardo\Documents\Image1-43 (58).jpg,,,SHARPXS1386,,12/5/2019 6:34:41 AM,,No,PG1 SW Exit
LTPW80,C:\Users\gerardo\Documents\Image0-44 (30).jpg,C:\Users\gerardo\Documents\Image1-44 (57).jpg,,,SHARPXS1386,,12/5/2019 6:34:47 AM,,No,PG1 SW Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-45 (31).jpg,C:\Users\gerardo\Documents\Image1-45 (57).jpg,,,SHARPXS0832,,12/5/2019 6:34:57 AM,,No,PG1 East (Center) Entry
LTQW15,C:\Users\gerardo\Documents\Image0-46 (30).jpg,C:\Users\gerardo\Documents\Image1-46 (57).jpg,,,SHARPXS0832,,12/5/2019 6:35:40 AM,,No,PG1 East (Center) Entry
KTWX53,C:\Users\gerardo\Documents\Image0-47 (25).jpg,C:\Users\gerardo\Documents\Image1-47 (55).jpg,,,SHARPXS0832,,12/5/2019 6:35:57 AM,,No,PG1 East (Center) Entry
