Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
BIGL73,C:\Users\gerardo\Documents\Image0-0 (48).jpg,C:\Users\gerardo\Documents\Image1-0 (48).jpg,,,SHARPV03132,,12/2/2019 6:01:55 AM,,No,PG6 West Entry
IFJM83,C:\Users\gerardo\Documents\Image0-1 (18).jpg,C:\Users\gerardo\Documents\Image1-1 (48).jpg,,,SHARPV03288,,12/2/2019 6:04:17 AM,,No,PG6 East Exit
HYQL25,C:\Users\gerardo\Documents\Image0-2 (20).jpg,C:\Users\gerardo\Documents\Image1-2 (48).jpg,,,SHARPV03161,,12/2/2019 6:07:13 AM,,No,PG6 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (17).jpg,C:\Users\gerardo\Documents\Image1-3 (48).jpg,,,SHARPV03161,,12/2/2019 6:07:51 AM,,No,PG6 East Entry
GFAM02,C:\Users\gerardo\Documents\Image0-4 (18).jpg,C:\Users\gerardo\Documents\Image1-4 (48).jpg,,,SHARPV03132,,12/2/2019 6:15:01 AM,,No,PG6 West Entry
GDPI60,C:\Users\gerardo\Documents\Image0-5 (20).jpg,C:\Users\gerardo\Documents\Image1-5 (48).jpg,,,SHARPV03132,,12/2/2019 6:17:09 AM,,No,PG6 West Entry
GBLC07,C:\Users\gerardo\Documents\Image0-6 (16).jpg,C:\Users\gerardo\Documents\Image1-6 (48).jpg,,,SHARPV03132,,12/2/2019 6:18:37 AM,,No,PG6 West Entry
493TAL,C:\Users\gerardo\Documents\Image0-7 (18).jpg,C:\Users\gerardo\Documents\Image1-7 (48).jpg,,,SHARPV03132,,12/2/2019 6:19:44 AM,,No,PG6 West Entry
HHRS74,C:\Users\gerardo\Documents\Image0-8 (16).jpg,C:\Users\gerardo\Documents\Image1-8 (48).jpg,,,SHARPV03132,,12/2/2019 6:19:47 AM,,No,PG6 West Entry
HYQB30,C:\Users\gerardo\Documents\Image0-9 (17).jpg,C:\Users\gerardo\Documents\Image1-9 (48).jpg,,,SHARPV03132,,12/2/2019 6:20:43 AM,,No,PG6 West Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (17).jpg,C:\Users\gerardo\Documents\Image1-10 (48).jpg,,,SHARPV03132,,12/2/2019 6:21:09 AM,,No,PG6 West Entry
EFCB72,C:\Users\gerardo\Documents\Image0-11 (15).jpg,C:\Users\gerardo\Documents\Image1-11 (48).jpg,,,SHARPV03161,,12/2/2019 6:23:49 AM,,No,PG6 East Entry
HDQT49,C:\Users\gerardo\Documents\Image0-12 (16).jpg,C:\Users\gerardo\Documents\Image1-12 (47).jpg,,,SHARPV03161,,12/2/2019 6:24:28 AM,,No,PG6 East Entry
IJMS83,C:\Users\gerardo\Documents\Image0-13 (17).jpg,C:\Users\gerardo\Documents\Image1-13 (47).jpg,,,SHARPV03132,,12/2/2019 6:24:47 AM,,No,PG6 West Entry
GXMP11,C:\Users\gerardo\Documents\Image0-14 (17).jpg,C:\Users\gerardo\Documents\Image1-14 (47).jpg,,,SHARPV03132,,12/2/2019 6:25:05 AM,,No,PG6 West Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (17).jpg,C:\Users\gerardo\Documents\Image1-15 (47).jpg,,,SHARPV03261,,12/2/2019 6:25:09 AM,,No,PG6 West Exit
KXIX33,C:\Users\gerardo\Documents\Image0-16 (17).jpg,C:\Users\gerardo\Documents\Image1-16 (47).jpg,,,SHARPV03132,,12/2/2019 6:26:37 AM,,No,PG6 West Entry
332QFU,C:\Users\gerardo\Documents\Image0-17 (16).jpg,C:\Users\gerardo\Documents\Image1-17 (47).jpg,,,SHARPV03161,,12/2/2019 6:28:16 AM,,No,PG6 East Entry
GMKE09,C:\Users\gerardo\Documents\Image0-18 (18).jpg,C:\Users\gerardo\Documents\Image1-18 (47).jpg,,,SHARPV03161,,12/2/2019 6:28:35 AM,,No,PG6 East Entry
GZQP44,C:\Users\gerardo\Documents\Image0-19 (14).jpg,C:\Users\gerardo\Documents\Image1-19 (47).jpg,,,SHARPV03161,,12/2/2019 6:30:34 AM,,No,PG6 East Entry
CSGW03,C:\Users\gerardo\Documents\Image0-20 (18).jpg,C:\Users\gerardo\Documents\Image1-20 (47).jpg,,,SHARPV03161,,12/2/2019 6:31:32 AM,,No,PG6 East Entry
NCUT59,C:\Users\gerardo\Documents\Image0-21 (17).jpg,C:\Users\gerardo\Documents\Image1-21 (47).jpg,,,SHARPV03132,,12/2/2019 6:34:00 AM,,No,PG6 West Entry
HQCD95,C:\Users\gerardo\Documents\Image0-22 (18).jpg,C:\Users\gerardo\Documents\Image1-22 (47).jpg,,,SHARPV03288,,12/2/2019 6:35:28 AM,,No,PG6 East Exit
HQUD93,C:\Users\gerardo\Documents\Image0-23 (16).jpg,C:\Users\gerardo\Documents\Image1-23 (47).jpg,,,SHARPV03132,,12/2/2019 6:35:42 AM,,No,PG6 West Entry
CXPL95,C:\Users\gerardo\Documents\Image0-24 (15).jpg,C:\Users\gerardo\Documents\Image1-24 (47).jpg,,,SHARPV03132,,12/2/2019 6:35:44 AM,,No,PG6 West Entry
KNQD89,C:\Users\gerardo\Documents\Image0-25 (15).jpg,C:\Users\gerardo\Documents\Image1-25 (47).jpg,,,SHARPV03132,,12/2/2019 6:35:50 AM,,No,PG6 West Entry
ASTP89,C:\Users\gerardo\Documents\Image0-26 (16).jpg,C:\Users\gerardo\Documents\Image1-26 (47).jpg,,,SHARPV03132,,12/2/2019 6:35:55 AM,,No,PG6 West Entry
KRCB14,C:\Users\gerardo\Documents\Image0-27 (18).jpg,C:\Users\gerardo\Documents\Image1-27 (47).jpg,,,SHARPV03132,,12/2/2019 6:37:14 AM,,No,PG6 West Entry
HLLA19,C:\Users\gerardo\Documents\Image0-28 (17).jpg,C:\Users\gerardo\Documents\Image1-28 (47).jpg,,,SHARPV03132,,12/2/2019 6:37:17 AM,,No,PG6 West Entry
HDJD58,C:\Users\gerardo\Documents\Image0-29 (15).jpg,C:\Users\gerardo\Documents\Image1-29 (47).jpg,,,SHARPV03161,,12/2/2019 6:37:42 AM,,No,PG6 East Entry
KDSF16,C:\Users\gerardo\Documents\Image0-30 (15).jpg,C:\Users\gerardo\Documents\Image1-30 (47).jpg,,,SHARPV03161,,12/2/2019 6:37:54 AM,,No,PG6 East Entry
CEPJ602,C:\Users\gerardo\Documents\Image0-31 (17).jpg,C:\Users\gerardo\Documents\Image1-31 (47).jpg,,,SHARPV03132,,12/2/2019 6:39:57 AM,,No,PG6 West Entry
GIXE43,C:\Users\gerardo\Documents\Image0-32 (18).jpg,C:\Users\gerardo\Documents\Image1-32 (46).jpg,,,SHARPV03132,,12/2/2019 6:40:08 AM,,No,PG6 West Entry
GELH97,C:\Users\gerardo\Documents\Image0-33 (17).jpg,C:\Users\gerardo\Documents\Image1-33 (46).jpg,,,SHARPV03161,,12/2/2019 6:41:28 AM,,No,PG6 East Entry
HBBU18,C:\Users\gerardo\Documents\Image0-34 (16).jpg,C:\Users\gerardo\Documents\Image1-34 (45).jpg,,,SHARPV03132,,12/2/2019 6:42:28 AM,,No,PG6 West Entry
KEMG44,C:\Users\gerardo\Documents\Image0-35 (18).jpg,C:\Users\gerardo\Documents\Image1-35 (45).jpg,,,SHARPV03132,,12/2/2019 6:42:46 AM,,No,PG6 West Entry
HPCZ54,C:\Users\gerardo\Documents\Image0-36 (16).jpg,C:\Users\gerardo\Documents\Image1-36 (45).jpg,,,SHARPV03132,,12/2/2019 6:43:18 AM,,No,PG6 West Entry
EKQM42,C:\Users\gerardo\Documents\Image0-37 (16).jpg,C:\Users\gerardo\Documents\Image1-37 (45).jpg,,,SHARPV03132,,12/2/2019 6:43:22 AM,,No,PG6 West Entry
HLKR71,C:\Users\gerardo\Documents\Image0-38 (16).jpg,C:\Users\gerardo\Documents\Image1-38 (45).jpg,,,SHARPV03161,,12/2/2019 6:43:56 AM,,No,PG6 East Entry
