Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-0 (46).jpg,,,SHARPV03090,,12/2/2019 6:00:17 AM,,No,PG4 East Entry
IAWB62,C:\Users\gerardo\Documents\Image0-1 (16).jpg,C:\Users\gerardo\Documents\Image1-1 (46).jpg,,,SHARP30836,,12/2/2019 6:00:54 AM,,No,PG4 West Entry
BIRS62,C:\Users\gerardo\Documents\Image0-2 (18).jpg,C:\Users\gerardo\Documents\Image1-2 (46).jpg,,,SHARP30836,,12/2/2019 6:02:13 AM,,No,PG4 West Entry
LJIR06,C:\Users\gerardo\Documents\Image0-3 (15).jpg,C:\Users\gerardo\Documents\Image1-3 (46).jpg,,,SHARP30836,,12/2/2019 6:02:22 AM,,No,PG4 West Entry
JNTA12,C:\Users\gerardo\Documents\Image0-4 (16).jpg,C:\Users\gerardo\Documents\Image1-4 (46).jpg,,,SHARP30836,,12/2/2019 6:02:29 AM,,No,PG4 West Entry
IPIG41,C:\Users\gerardo\Documents\Image0-5 (18).jpg,C:\Users\gerardo\Documents\Image1-5 (46).jpg,,,SHARP30836,,12/2/2019 6:03:41 AM,,No,PG4 West Entry
YH130,C:\Users\gerardo\Documents\Image0-6 (14).jpg,C:\Users\gerardo\Documents\Image1-6 (46).jpg,,,SHARP30836,,12/2/2019 6:12:47 AM,,No,PG4 West Entry
YE934,C:\Users\gerardo\Documents\Image0-7 (16).jpg,C:\Users\gerardo\Documents\Image1-7 (46).jpg,,,SHARP30834,,12/2/2019 6:13:49 AM,,No,PG4 West Exit
HCLF76,C:\Users\gerardo\Documents\Image0-8 (14).jpg,C:\Users\gerardo\Documents\Image1-8 (46).jpg,,,SHARP30836,,12/2/2019 6:14:12 AM,,No,PG4 West Entry
GNUU41,C:\Users\gerardo\Documents\Image0-9 (15).jpg,C:\Users\gerardo\Documents\Image1-9 (46).jpg,,,SHARP30836,,12/2/2019 6:16:03 AM,,No,PG4 West Entry
LSAB36,C:\Users\gerardo\Documents\Image0-10 (14).jpg,C:\Users\gerardo\Documents\Image1-10 (46).jpg,,,SHARPV03090,,12/2/2019 6:16:18 AM,,No,PG4 East Entry
Z80CFH,C:\Users\gerardo\Documents\Image0-11 (13).jpg,C:\Users\gerardo\Documents\Image1-11 (46).jpg,,,SHARPV03090,,12/2/2019 6:17:10 AM,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-12 (45).jpg,,,SHARPV03090,,12/2/2019 6:17:59 AM,,No,PG4 East Entry
AKHP83,C:\Users\gerardo\Documents\Image0-13 (15).jpg,C:\Users\gerardo\Documents\Image1-13 (45).jpg,,,SHARP30834,,12/2/2019 6:18:46 AM,,No,PG4 West Exit
JQMI76,C:\Users\gerardo\Documents\Image0-14 (15).jpg,C:\Users\gerardo\Documents\Image1-14 (45).jpg,,,SHARP30834,,12/2/2019 6:18:50 AM,,No,PG4 West Exit
JYFN14,C:\Users\gerardo\Documents\Image0-15 (15).jpg,C:\Users\gerardo\Documents\Image1-15 (45).jpg,,,SHARP30836,,12/2/2019 6:20:19 AM,,No,PG4 West Entry
DUXW99,C:\Users\gerardo\Documents\Image0-16 (15).jpg,C:\Users\gerardo\Documents\Image1-16 (45).jpg,,,SHARPV03090,,12/2/2019 6:20:22 AM,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-17 (45).jpg,,,SHARPV03066,,12/2/2019 6:25:04 AM,,No,PG4 South East Exit
LYSS94,C:\Users\gerardo\Documents\Image0-18 (16).jpg,C:\Users\gerardo\Documents\Image1-18 (45).jpg,,,SHARPV03090,,12/2/2019 6:27:34 AM,,No,PG4 East Entry
GXKT44,C:\Users\gerardo\Documents\Image0-19 (12).jpg,C:\Users\gerardo\Documents\Image1-19 (45).jpg,,,SHARPV03090,,12/2/2019 6:27:46 AM,,No,PG4 East Entry
DQLL40,C:\Users\gerardo\Documents\Image0-20 (16).jpg,C:\Users\gerardo\Documents\Image1-20 (45).jpg,,,SHARPV03090,,12/2/2019 6:27:56 AM,,No,PG4 East Entry
700RNM,C:\Users\gerardo\Documents\Image0-21 (15).jpg,C:\Users\gerardo\Documents\Image1-21 (45).jpg,,,SHARP30836,,12/2/2019 6:28:19 AM,,No,PG4 West Entry
KQZK47,C:\Users\gerardo\Documents\Image0-22 (16).jpg,C:\Users\gerardo\Documents\Image1-22 (45).jpg,,,SHARPV03090,,12/2/2019 6:28:30 AM,,No,PG4 East Entry
3799D,C:\Users\gerardo\Documents\Image0-23 (14).jpg,C:\Users\gerardo\Documents\Image1-23 (45).jpg,,,SHARP30834,,12/2/2019 6:28:32 AM,,No,PG4 West Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-24 (45).jpg,,,SHARPV03066,,12/2/2019 6:29:28 AM,,No,PG4 South East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (46).jpg,C:\Users\gerardo\Documents\Image1-25 (45).jpg,,,SHARPV03066,,12/2/2019 6:29:46 AM,,No,PG4 South East Exit
HFLE28,C:\Users\gerardo\Documents\Image0-26 (14).jpg,C:\Users\gerardo\Documents\Image1-26 (45).jpg,,,SHARPV03090,,12/2/2019 6:30:53 AM,,No,PG4 East Entry
