Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
27226Z,C:\Users\gerardo\Documents\Image0-0 (43).jpg,C:\Users\gerardo\Documents\Image1-0 (43).jpg,,,SHARPXS0832,,12/2/2019 6:01:15 AM,,No,PG1 East (Center) Entry
BLEY18,C:\Users\gerardo\Documents\Image0-1 (13).jpg,C:\Users\gerardo\Documents\Image1-1 (43).jpg,,,SHARPXS0832,,12/2/2019 6:01:22 AM,,No,PG1 East (Center) Entry
29TFH,C:\Users\gerardo\Documents\Image0-2 (15).jpg,C:\Users\gerardo\Documents\Image1-2 (43).jpg,,,SHARPXS1385,,12/2/2019 6:03:09 AM,,No,PG1 SW (Center) Entry
ISX125,C:\Users\gerardo\Documents\Image0-3 (12).jpg,C:\Users\gerardo\Documents\Image1-3 (43).jpg,,,SHARPXS0832,,12/2/2019 6:09:50 AM,,No,PG1 East (Center) Entry
BACR11,C:\Users\gerardo\Documents\Image0-4 (13).jpg,C:\Users\gerardo\Documents\Image1-4 (43).jpg,,,SHARPXS0832,,12/2/2019 6:10:12 AM,,No,PG1 East (Center) Entry
HWMF86,C:\Users\gerardo\Documents\Image0-5 (15).jpg,C:\Users\gerardo\Documents\Image1-5 (43).jpg,,,SHARPXS0832,,12/2/2019 6:10:43 AM,,No,PG1 East Entry
IPIE69,C:\Users\gerardo\Documents\Image0-6 (12).jpg,C:\Users\gerardo\Documents\Image1-6 (43).jpg,,,SHARPXS0832,,12/2/2019 6:17:26 AM,,No,PG1 East (Center) Entry
ELIK15,C:\Users\gerardo\Documents\Image0-7 (13).jpg,C:\Users\gerardo\Documents\Image1-7 (43).jpg,,,SHARPXS0832,,12/2/2019 6:20:21 AM,,No,PG1 East Entry
JPRK58,C:\Users\gerardo\Documents\Image0-8 (12).jpg,C:\Users\gerardo\Documents\Image1-8 (43).jpg,,,SHARPXS0832,,12/2/2019 6:20:23 AM,,No,PG1 East (Center) Entry
JXWV43,C:\Users\gerardo\Documents\Image0-9 (12).jpg,C:\Users\gerardo\Documents\Image1-9 (43).jpg,,,SHARPXS0832,,12/2/2019 6:20:36 AM,,No,PG1 East (Center) Entry
GQAF71,C:\Users\gerardo\Documents\Image0-10 (12).jpg,C:\Users\gerardo\Documents\Image1-10 (43).jpg,,,SHARPXS0832,,12/2/2019 6:21:46 AM,,No,PG1 East (Center) Entry
DKHL73,C:\Users\gerardo\Documents\Image0-11 (10).jpg,C:\Users\gerardo\Documents\Image1-11 (43).jpg,,,SHARPXS0832,,12/2/2019 6:22:44 AM,,No,PG1 East Entry
JRRL04,C:\Users\gerardo\Documents\Image0-12 (12).jpg,C:\Users\gerardo\Documents\Image1-12 (42).jpg,,,SHARPXS1385,,12/2/2019 6:23:23 AM,,No,PG1 SW (Center) Entry
DKHL73,C:\Users\gerardo\Documents\Image0-13 (12).jpg,C:\Users\gerardo\Documents\Image1-13 (42).jpg,,,SHARPXS1386,,12/2/2019 6:24:03 AM,,No,PG1 SW Exit
IJNE83,C:\Users\gerardo\Documents\Image0-14 (12).jpg,C:\Users\gerardo\Documents\Image1-14 (42).jpg,,,SHARPXS0832,,12/2/2019 6:25:23 AM,,No,PG1 East (Center) Entry
LWWG21,C:\Users\gerardo\Documents\Image0-15 (12).jpg,C:\Users\gerardo\Documents\Image1-15 (42).jpg,,,SHARPXS0832,,12/2/2019 6:26:06 AM,,No,PG1 East Entry
KZYH85,C:\Users\gerardo\Documents\Image0-16 (13).jpg,C:\Users\gerardo\Documents\Image1-16 (42).jpg,,,SHARPXS0832,,12/2/2019 6:26:08 AM,,No,PG1 East (Center) Entry
KTWX53,C:\Users\gerardo\Documents\Image0-17 (13).jpg,C:\Users\gerardo\Documents\Image1-17 (42).jpg,,,SHARPXS0832,,12/2/2019 6:26:19 AM,,No,PG1 East (Center) Entry
LTPW80,C:\Users\gerardo\Documents\Image0-18 (13).jpg,C:\Users\gerardo\Documents\Image1-18 (42).jpg,,,SHARPXS0832,,12/2/2019 6:27:16 AM,,No,PG1 East Entry
JGLK68,C:\Users\gerardo\Documents\Image0-19 (11).jpg,C:\Users\gerardo\Documents\Image1-19 (42).jpg,,,SHARPXS0832,,12/2/2019 6:27:32 AM,,No,PG1 East (Center) Entry
INJI99,C:\Users\gerardo\Documents\Image0-20 (13).jpg,C:\Users\gerardo\Documents\Image1-20 (42).jpg,,,SHARPXS1385,,12/2/2019 6:27:44 AM,,No,PG1 SW Entry
KEGW21,C:\Users\gerardo\Documents\Image0-21 (13).jpg,C:\Users\gerardo\Documents\Image1-21 (42).jpg,,,SHARPXS0832,,12/2/2019 6:27:54 AM,,No,PG1 East (Center) Entry
JYYU58,C:\Users\gerardo\Documents\Image0-22 (13).jpg,C:\Users\gerardo\Documents\Image1-22 (42).jpg,,,SHARPXS0832,,12/2/2019 6:28:08 AM,,No,PG1 East Entry
LTPW80,C:\Users\gerardo\Documents\Image0-23 (11).jpg,C:\Users\gerardo\Documents\Image1-23 (42).jpg,,,SHARPXS1386,,12/2/2019 6:28:28 AM,,No,PG1 SW Exit
IZPP60,C:\Users\gerardo\Documents\Image0-24 (11).jpg,C:\Users\gerardo\Documents\Image1-24 (42).jpg,,,SHARPXS1385,,12/2/2019 6:29:36 AM,,No,PG1 SW Entry
LULF99,C:\Users\gerardo\Documents\Image0-25 (11).jpg,C:\Users\gerardo\Documents\Image1-25 (42).jpg,,,SHARPXS0832,,12/2/2019 6:29:56 AM,,No,PG1 East (Center) Entry
HPCM59,C:\Users\gerardo\Documents\Image0-26 (11).jpg,C:\Users\gerardo\Documents\Image1-26 (42).jpg,,,SHARPXS0832,,12/2/2019 6:30:37 AM,,No,PG1 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-27 (13).jpg,C:\Users\gerardo\Documents\Image1-27 (42).jpg,,,SHARPXS0832,,12/2/2019 6:32:05 AM,,No,PG1 East (Center) Entry
342QTT,C:\Users\gerardo\Documents\Image0-28 (12).jpg,C:\Users\gerardo\Documents\Image1-28 (42).jpg,,,SHARPXS0831,,12/2/2019 6:33:44 AM,,No,PG1 East Exit
442TPV,C:\Users\gerardo\Documents\Image0-29 (10).jpg,C:\Users\gerardo\Documents\Image1-29 (42).jpg,,,SHARPXS0832,,12/2/2019 6:33:47 AM,,No,PG1 East Entry
KXYP16,C:\Users\gerardo\Documents\Image0-30 (12).jpg,C:\Users\gerardo\Documents\Image1-30 (42).jpg,,,SHARPXS0832,,12/2/2019 6:33:53 AM,,No,PG1 East (Center) Entry
AYYG12,C:\Users\gerardo\Documents\Image0-31 (12).jpg,C:\Users\gerardo\Documents\Image1-31 (42).jpg,,,SHARPXS0832,,12/2/2019 6:35:31 AM,,No,PG1 East (Center) Entry
IXDM62,C:\Users\gerardo\Documents\Image0-32 (13).jpg,C:\Users\gerardo\Documents\Image1-32 (41).jpg,,,SHARPXS0832,,12/2/2019 6:35:48 AM,,No,PG1 East (Center) Entry
HQCD98,C:\Users\gerardo\Documents\Image0-33 (13).jpg,C:\Users\gerardo\Documents\Image1-33 (41).jpg,,,SHARPXS0832,,12/2/2019 6:36:40 AM,,No,PG1 East (Center) Entry
