Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (63).jpg,C:\Users\gerardo\Documents\Image1-0 (63).jpg,,,SHARPXS0861,,12/5/2019 6:00:48 AM,,No,PG3 North East Entry
GRKP05,C:\Users\gerardo\Documents\Image0-1 (33).jpg,C:\Users\gerardo\Documents\Image1-1 (63).jpg,,,SHARPXS0861,,12/5/2019 6:03:55 AM,,No,PG3 East Entry
GDRN48,C:\Users\gerardo\Documents\Image0-2 (35).jpg,C:\Users\gerardo\Documents\Image1-2 (63).jpg,,,SHARPXS0861,,12/5/2019 6:04:43 AM,,No,PG3 East Entry
DBDC27,C:\Users\gerardo\Documents\Image0-3 (32).jpg,C:\Users\gerardo\Documents\Image1-3 (63).jpg,,,SHARPXS0861,,12/5/2019 6:06:05 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (63).jpg,C:\Users\gerardo\Documents\Image1-4 (63).jpg,,,SHARPXS0862,,12/5/2019 6:09:28 AM,,No,PG3 East Exit
BZFK45,C:\Users\gerardo\Documents\Image0-5 (34).jpg,C:\Users\gerardo\Documents\Image1-5 (63).jpg,,,SHARPXS0861,,12/5/2019 6:09:34 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (63).jpg,C:\Users\gerardo\Documents\Image1-6 (63).jpg,,,SHARPXS0861,,12/5/2019 6:13:28 AM,,No,PG3 North East Entry
KRIU24,C:\Users\gerardo\Documents\Image0-7 (32).jpg,C:\Users\gerardo\Documents\Image1-7 (63).jpg,,,SHARPXS0861,,12/5/2019 6:15:29 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (63).jpg,C:\Users\gerardo\Documents\Image1-8 (63).jpg,,,SHARPXS0862,,12/5/2019 6:15:47 AM,,No,PG3 East Exit
37996,C:\Users\gerardo\Documents\Image0-9 (31).jpg,C:\Users\gerardo\Documents\Image1-9 (63).jpg,,,SHARPXS0862,,12/5/2019 6:15:48 AM,,No,PG3 East Exit
131WWC,C:\Users\gerardo\Documents\Image0-10 (28).jpg,C:\Users\gerardo\Documents\Image1-10 (63).jpg,,,SHARPXS0861,,12/5/2019 6:21:34 AM,,No,PG3 East Entry
EWCU16,C:\Users\gerardo\Documents\Image0-11 (29).jpg,C:\Users\gerardo\Documents\Image1-11 (63).jpg,,,SHARPV03682,,12/5/2019 6:21:43 AM,,No,PG3 South East Exit
DBDQ80,C:\Users\gerardo\Documents\Image0-12 (29).jpg,C:\Users\gerardo\Documents\Image1-12 (62).jpg,,,SHARPXS0862,,12/5/2019 6:22:16 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-13 (32).jpg,C:\Users\gerardo\Documents\Image1-13 (62).jpg,,,SHARPV03287,,12/5/2019 6:25:29 AM,,No,PG3 West Exit
ICMR06,C:\Users\gerardo\Documents\Image0-14 (32).jpg,C:\Users\gerardo\Documents\Image1-14 (62).jpg,,,SHARPXS0861,,12/5/2019 6:27:24 AM,,No,PG3 East Entry
DQII62,C:\Users\gerardo\Documents\Image0-15 (30).jpg,C:\Users\gerardo\Documents\Image1-15 (62).jpg,,,SHARPV03682,,12/5/2019 6:27:36 AM,,No,PG3 South East Exit
KECI82,C:\Users\gerardo\Documents\Image0-16 (31).jpg,C:\Users\gerardo\Documents\Image1-16 (62).jpg,,,SHARPXS0861,,12/5/2019 6:28:25 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-13 (32).jpg,C:\Users\gerardo\Documents\Image1-17 (62).jpg,,,SHARPV03287,,12/5/2019 6:28:46 AM,,No,PG3 West Exit
CUDCA,C:\Users\gerardo\Documents\Image0-18 (33).jpg,C:\Users\gerardo\Documents\Image1-18 (62).jpg,,,SHARPV03287,,12/5/2019 6:28:46 AM,,No,PG3 West Exit
342QTT,C:\Users\gerardo\Documents\Image0-19 (29).jpg,C:\Users\gerardo\Documents\Image1-19 (62).jpg,,,SHARPXS0862,,12/5/2019 6:31:58 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (63).jpg,C:\Users\gerardo\Documents\Image1-20 (62).jpg,,,SHARPXS0862,,12/5/2019 6:38:19 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (63).jpg,C:\Users\gerardo\Documents\Image1-21 (62).jpg,,,SHARPXS0861,,12/5/2019 6:43:14 AM,,No,PG3 East Entry
010QVZ,C:\Users\gerardo\Documents\Image0-22 (33).jpg,C:\Users\gerardo\Documents\Image1-22 (62).jpg,,,SHARPXS0861,,12/5/2019 6:44:38 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-13 (32).jpg,C:\Users\gerardo\Documents\Image1-23 (62).jpg,,,SHARPV03287,,12/5/2019 6:45:12 AM,,No,PG3 West Exit
KNRP63,C:\Users\gerardo\Documents\Image0-24 (29).jpg,C:\Users\gerardo\Documents\Image1-24 (62).jpg,,,SHARPXS0861,,12/5/2019 6:46:38 AM,,No,PG3 East Entry
3053,C:\Users\gerardo\Documents\Image0-25 (28).jpg,C:\Users\gerardo\Documents\Image1-25 (62).jpg,,,SHARPV03287,,12/5/2019 6:49:03 AM,,No,PG3 West Exit
JNKG01,C:\Users\gerardo\Documents\Image0-26 (31).jpg,C:\Users\gerardo\Documents\Image1-26 (62).jpg,,,SHARPXS0861,,12/5/2019 6:49:32 AM,,No,PG3 North East Entry
CQZT86,C:\Users\gerardo\Documents\Image0-27 (32).jpg,C:\Users\gerardo\Documents\Image1-27 (62).jpg,,,SHARPXS0861,,12/5/2019 6:51:03 AM,,No,PG3 East Entry
