Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
KVP16,C:\Users\gerardo\Documents\Image0-0 (53).jpg,C:\Users\gerardo\Documents\Image1-0 (53).jpg,,,SHARPV04650,,12/3/2019 6:00:01 AM,,No,PG5 West Entry
DLJ19,C:\Users\gerardo\Documents\Image0-1 (23).jpg,C:\Users\gerardo\Documents\Image1-1 (53).jpg,,,SHARPV04650,,12/3/2019 6:00:15 AM,,No,PG5 West Entry
IFMM77,C:\Users\gerardo\Documents\Image0-2 (25).jpg,C:\Users\gerardo\Documents\Image1-2 (53).jpg,,,SHARPV04667,,12/3/2019 6:03:18 AM,,No,PG5 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (22).jpg,C:\Users\gerardo\Documents\Image1-3 (53).jpg,,,SHARPV03069,,12/3/2019 6:03:46 AM,,No,PG5 West Exit
GUXN14,C:\Users\gerardo\Documents\Image0-4 (23).jpg,C:\Users\gerardo\Documents\Image1-4 (53).jpg,,,SHARPV04667,,12/3/2019 6:05:04 AM,,No,PG5 East Entry
JFTG35,C:\Users\gerardo\Documents\Image0-5 (24).jpg,C:\Users\gerardo\Documents\Image1-5 (53).jpg,,,SHARPV06796,,12/3/2019 6:05:52 AM,,No,PG5 East Exit
IAI500,C:\Users\gerardo\Documents\Image0-6 (20).jpg,C:\Users\gerardo\Documents\Image1-6 (53).jpg,,,SHARPV03069,,12/3/2019 6:06:20 AM,,No,PG5 West Exit
LVTR58,C:\Users\gerardo\Documents\Image0-7 (22).jpg,C:\Users\gerardo\Documents\Image1-7 (53).jpg,,,SHARPV04650,,12/3/2019 6:06:44 AM,,No,PG5 West Entry
GTDP46,C:\Users\gerardo\Documents\Image0-8 (21).jpg,C:\Users\gerardo\Documents\Image1-8 (53).jpg,,,SHARPV03069,,12/3/2019 6:07:55 AM,,No,PG5 West Exit
DQMB10,C:\Users\gerardo\Documents\Image0-9 (22).jpg,C:\Users\gerardo\Documents\Image1-9 (53).jpg,,,SHARPV04650,,12/3/2019 6:08:57 AM,,No,PG5 West Entry
KRMI19,C:\Users\gerardo\Documents\Image0-10 (20).jpg,C:\Users\gerardo\Documents\Image1-10 (53).jpg,,,SHARPV04650,,12/3/2019 6:09:03 AM,,No,PG5 West Entry
