Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
IJNE83,C:\Users\gerardo\Documents\Image0-0 (49).jpg,C:\Users\gerardo\Documents\Image1-0 (49).jpg,,,SHARPXS0832,,12/3/2019 6:07:33 AM,,No,PG1 East (Center) Entry
JNHY48,C:\Users\gerardo\Documents\Image0-1 (19).jpg,C:\Users\gerardo\Documents\Image1-1 (49).jpg,,,SHARPXS1385,,12/3/2019 6:07:34 AM,,No,PG1 SW (Center) Entry
BACR11,C:\Users\gerardo\Documents\Image0-2 (21).jpg,C:\Users\gerardo\Documents\Image1-2 (49).jpg,,,SHARPXS0832,,12/3/2019 6:07:48 AM,,No,PG1 East (Center) Entry
DEZL39,C:\Users\gerardo\Documents\Image0-3 (18).jpg,C:\Users\gerardo\Documents\Image1-3 (49).jpg,,,SHARPXS0832,,12/3/2019 6:08:02 AM,,No,PG1 East (Center) Entry
IDKV01,C:\Users\gerardo\Documents\Image0-4 (19).jpg,C:\Users\gerardo\Documents\Image1-4 (49).jpg,,,SHARPXS0832,,12/3/2019 6:08:06 AM,,No,PG1 East (Center) Entry
IHDY62,C:\Users\gerardo\Documents\Image0-5 (21).jpg,C:\Users\gerardo\Documents\Image1-5 (49).jpg,,,SHARPXS0831,,12/3/2019 6:08:57 AM,,No,PG1 East Exit
LTTC20,C:\Users\gerardo\Documents\Image0-6 (17).jpg,C:\Users\gerardo\Documents\Image1-6 (49).jpg,,,SHARPXS0832,,12/3/2019 6:11:48 AM,,No,PG1 East (Center) Entry
KWZL28,C:\Users\gerardo\Documents\Image0-7 (19).jpg,C:\Users\gerardo\Documents\Image1-7 (49).jpg,,,SHARPXS0832,,12/3/2019 6:15:07 AM,,No,PG1 East (Center) Entry
ITDA16,C:\Users\gerardo\Documents\Image0-8 (17).jpg,C:\Users\gerardo\Documents\Image1-8 (49).jpg,,,SHARPXS0832,,12/3/2019 6:15:15 AM,,No,PG1 East (Center) Entry
ICTS66,C:\Users\gerardo\Documents\Image0-9 (18).jpg,C:\Users\gerardo\Documents\Image1-9 (49).jpg,,,SHARPXS1385,,12/3/2019 6:15:34 AM,,No,PG1 SW Entry
KTWX53,C:\Users\gerardo\Documents\Image0-10 (16).jpg,C:\Users\gerardo\Documents\Image1-10 (49).jpg,,,SHARPXS0832,,12/3/2019 6:16:54 AM,,No,PG1 East (Center) Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-11 (16).jpg,C:\Users\gerardo\Documents\Image1-11 (49).jpg,,,SHARPXS0832,,12/3/2019 6:17:03 AM,,No,PG1 East Entry
LQVC91,C:\Users\gerardo\Documents\Image0-12 (17).jpg,C:\Users\gerardo\Documents\Image1-12 (48).jpg,,,SHARPXS0832,,12/3/2019 6:17:06 AM,,No,PG1 East (Center) Entry
HWMF86,C:\Users\gerardo\Documents\Image0-13 (18).jpg,C:\Users\gerardo\Documents\Image1-13 (48).jpg,,,SHARPXS0832,,12/3/2019 6:19:01 AM,,No,PG1 East Entry
