Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
GRKP05,C:\Users\gerardo\Documents\Image0-0 (57).jpg,C:\Users\gerardo\Documents\Image1-0 (57).jpg,,,SHARPXS0861,,12/4/2019 6:01:42 AM,,No,PG3 East Entry
DGDQ11,C:\Users\gerardo\Documents\Image0-1 (27).jpg,C:\Users\gerardo\Documents\Image1-1 (57).jpg,,,SHARPXS0861,,12/4/2019 6:04:55 AM,,No,PG3 East Entry
HBPS16,C:\Users\gerardo\Documents\Image0-2 (29).jpg,C:\Users\gerardo\Documents\Image1-2 (57).jpg,,,SHARPXS0861,,12/4/2019 6:09:00 AM,,No,PG3 East Entry
EFTX30,C:\Users\gerardo\Documents\Image0-3 (26).jpg,C:\Users\gerardo\Documents\Image1-3 (57).jpg,,,SHARPXS0861,,12/4/2019 6:12:25 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-4 (57).jpg,,,SHARPXS0862,,12/4/2019 6:13:17 AM,,No,PG3 East Exit
BZFK45,C:\Users\gerardo\Documents\Image0-5 (28).jpg,C:\Users\gerardo\Documents\Image1-5 (57).jpg,,,SHARPXS0861,,12/4/2019 6:13:22 AM,,No,PG3 East Entry
EWCU16,C:\Users\gerardo\Documents\Image0-6 (24).jpg,C:\Users\gerardo\Documents\Image1-6 (57).jpg,,,SHARPV03682,,12/4/2019 6:14:28 AM,,No,PG3 South East Exit
DBDQ80,C:\Users\gerardo\Documents\Image0-7 (26).jpg,C:\Users\gerardo\Documents\Image1-7 (57).jpg,,,SHARPXS0862,,12/4/2019 6:16:29 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-8 (57).jpg,,,SHARPXS0861,,12/4/2019 6:17:04 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-9 (57).jpg,,,SHARPXS0861,,12/4/2019 6:21:41 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-10 (57).jpg,,,SHARPXS0862,,12/4/2019 6:24:37 AM,,No,PG3 East Exit
3799D,C:\Users\gerardo\Documents\Image0-11 (23).jpg,C:\Users\gerardo\Documents\Image1-11 (57).jpg,,,SHARPXS0862,,12/4/2019 6:24:45 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-12 (56).jpg,,,SHARPXS0861,,12/4/2019 6:25:13 AM,,No,PG3 East Entry
DQII62,C:\Users\gerardo\Documents\Image0-13 (26).jpg,C:\Users\gerardo\Documents\Image1-13 (56).jpg,,,SHARPV03682,,12/4/2019 6:26:05 AM,,No,PG3 South East Exit
KBWD93,C:\Users\gerardo\Documents\Image0-14 (26).jpg,C:\Users\gerardo\Documents\Image1-14 (56).jpg,,,SHARPXS0861,,12/4/2019 6:29:12 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-15 (56).jpg,,,SHARPXS0861,,12/4/2019 6:29:27 AM,,No,PG3 North East Entry
JVNI24,C:\Users\gerardo\Documents\Image0-16 (25).jpg,C:\Users\gerardo\Documents\Image1-16 (56).jpg,,,SHARPV03682,,12/4/2019 6:30:24 AM,,No,PG3 South East Exit
249TWR,C:\Users\gerardo\Documents\Image0-17 (24).jpg,C:\Users\gerardo\Documents\Image1-17 (56).jpg,,,SHARPXS0861,,12/4/2019 6:31:38 AM,,No,PG3 East Entry
JNTT13,C:\Users\gerardo\Documents\Image0-18 (27).jpg,C:\Users\gerardo\Documents\Image1-18 (56).jpg,,,SHARPXS0861,,12/4/2019 6:33:49 AM,,No,PG3 East Entry
KECA42,C:\Users\gerardo\Documents\Image0-19 (23).jpg,C:\Users\gerardo\Documents\Image1-19 (56).jpg,,,SHARPXS0861,,12/4/2019 6:34:53 AM,,No,PG3 East Entry
GXIN41,C:\Users\gerardo\Documents\Image0-20 (27).jpg,C:\Users\gerardo\Documents\Image1-20 (56).jpg,,,SHARPXS0861,,12/4/2019 6:35:20 AM,,No,PG3 East Entry
HTNT26,C:\Users\gerardo\Documents\Image0-21 (25).jpg,C:\Users\gerardo\Documents\Image1-21 (56).jpg,,,SHARPXS0861,,12/4/2019 6:37:36 AM,,No,PG3 East Entry
LCCM35,C:\Users\gerardo\Documents\Image0-22 (27).jpg,C:\Users\gerardo\Documents\Image1-22 (56).jpg,,,SHARPXS0861,,12/4/2019 6:37:57 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-23 (24).jpg,C:\Users\gerardo\Documents\Image1-23 (56).jpg,,,SHARPV03287,,12/4/2019 6:38:04 AM,,No,PG3 West Exit
LQJB33,C:\Users\gerardo\Documents\Image0-24 (23).jpg,C:\Users\gerardo\Documents\Image1-24 (56).jpg,,,SHARPXS0862,,12/4/2019 6:38:44 AM,,No,PG3 East Exit
IMHH67,C:\Users\gerardo\Documents\Image0-25 (22).jpg,C:\Users\gerardo\Documents\Image1-25 (56).jpg,,,SHARPXS0861,,12/4/2019 6:40:46 AM,,No,PG3 North East Entry
JIQS88,C:\Users\gerardo\Documents\Image0-26 (25).jpg,C:\Users\gerardo\Documents\Image1-26 (56).jpg,,,SHARPXS0861,,12/4/2019 6:41:34 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (27).jpg,C:\Users\gerardo\Documents\Image1-27 (56).jpg,,,SHARPXS0861,,12/4/2019 6:41:39 AM,,No,PG3 East Entry
HDRQ56,C:\Users\gerardo\Documents\Image0-28 (24).jpg,C:\Users\gerardo\Documents\Image1-28 (56).jpg,,,SHARPXS0862,,12/4/2019 6:41:42 AM,,No,PG3 East Exit
BFTP22,C:\Users\gerardo\Documents\Image0-29 (24).jpg,C:\Users\gerardo\Documents\Image1-29 (56).jpg,,,SHARPXS0861,,12/4/2019 6:43:04 AM,,No,PG3 East Entry
IIVP92,C:\Users\gerardo\Documents\Image0-30 (23).jpg,C:\Users\gerardo\Documents\Image1-30 (56).jpg,,,SHARPXS0861,,12/4/2019 6:43:07 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-23 (24).jpg,C:\Users\gerardo\Documents\Image1-31 (56).jpg,,,SHARPV03682,,12/4/2019 6:46:09 AM,,No,PG3 South East Exit
JUBZ46,C:\Users\gerardo\Documents\Image0-32 (27).jpg,C:\Users\gerardo\Documents\Image1-32 (55).jpg,,,SHARPXS0861,,12/4/2019 6:47:50 AM,,No,PG3 East Entry
GDCS78,C:\Users\gerardo\Documents\Image0-33 (25).jpg,C:\Users\gerardo\Documents\Image1-33 (55).jpg,,,SHARPXS0861,,12/4/2019 6:49:13 AM,,No,PG3 East Entry
KEWV99,C:\Users\gerardo\Documents\Image0-34 (25).jpg,C:\Users\gerardo\Documents\Image1-34 (54).jpg,,,SHARPXS0861,,12/4/2019 6:49:23 AM,,No,PG3 East Entry
