Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
047RKP,C:\Users\gerardo\Documents\Image0-0 (67).jpg,C:\Users\gerardo\Documents\Image1-0 (67).jpg,,,SHARPXS1385,,12/6/2019 6:01:22 AM,,No,PG1 SW Entry
EXLP48,C:\Users\gerardo\Documents\Image0-1 (37).jpg,C:\Users\gerardo\Documents\Image1-1 (67).jpg,,,SHARPXS0832,,12/6/2019 6:02:47 AM,,No,PG1 East (Center) Entry
A0PJ1U,C:\Users\gerardo\Documents\Image0-2 (39).jpg,C:\Users\gerardo\Documents\Image1-2 (67).jpg,,,SHARPXS0832,,12/6/2019 6:02:50 AM,,No,PG1 East (Center) Entry
IXDM62,C:\Users\gerardo\Documents\Image0-3 (36).jpg,C:\Users\gerardo\Documents\Image1-3 (67).jpg,,,SHARPXS0832,,12/6/2019 6:03:02 AM,,No,PG1 East (Center) Entry
JNLN89,C:\Users\gerardo\Documents\Image0-4 (36).jpg,C:\Users\gerardo\Documents\Image1-4 (67).jpg,,,SHARPXS0832,,12/6/2019 6:06:31 AM,,No,PG1 East Entry
LESZ77,C:\Users\gerardo\Documents\Image0-5 (38).jpg,C:\Users\gerardo\Documents\Image1-5 (67).jpg,,,SHARPXS0832,,12/6/2019 6:06:35 AM,,No,PG1 East Entry
ICTS66,C:\Users\gerardo\Documents\Image0-6 (33).jpg,C:\Users\gerardo\Documents\Image1-6 (67).jpg,,,SHARPXS1385,,12/6/2019 6:06:40 AM,,No,PG1 SW Entry
BFFY11,C:\Users\gerardo\Documents\Image0-7 (36).jpg,C:\Users\gerardo\Documents\Image1-7 (67).jpg,,,SHARPXS0832,,12/6/2019 6:07:56 AM,,No,PG1 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (33).jpg,C:\Users\gerardo\Documents\Image1-8 (67).jpg,,,SHARPXS0832,,12/6/2019 6:07:57 AM,,No,PG1 East (Center) Entry
BFFY11,C:\Users\gerardo\Documents\Image0-9 (35).jpg,C:\Users\gerardo\Documents\Image1-9 (67).jpg,,,SHARPXS0831,,12/6/2019 6:08:10 AM,,No,PG1 East Exit
LESZ77,C:\Users\gerardo\Documents\Image0-10 (32).jpg,C:\Users\gerardo\Documents\Image1-10 (67).jpg,,,SHARPXS1386,,12/6/2019 6:08:16 AM,,No,PG1 SW Exit
JPRK58,C:\Users\gerardo\Documents\Image0-11 (33).jpg,C:\Users\gerardo\Documents\Image1-11 (67).jpg,,,SHARPXS0832,,12/6/2019 6:11:18 AM,,No,PG1 East (Center) Entry
BYYC37,C:\Users\gerardo\Documents\Image0-12 (33).jpg,C:\Users\gerardo\Documents\Image1-12 (66).jpg,,,SHARPXS1386,,12/6/2019 6:18:06 AM,,No,PG1 SW Exit
JNUC15,C:\Users\gerardo\Documents\Image0-13 (36).jpg,C:\Users\gerardo\Documents\Image1-13 (66).jpg,,,SHARPXS0832,,12/6/2019 6:18:13 AM,,No,PG1 East Entry
