Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
KXHA88,C:\Users\gerardo\Documents\Image0-0 (51).jpg,C:\Users\gerardo\Documents\Image1-0 (51).jpg,,,SHARPXS0861,,12/3/2019 6:01:20 AM,,No,PG3 East Entry
GRKP05,C:\Users\gerardo\Documents\Image0-1 (21).jpg,C:\Users\gerardo\Documents\Image1-1 (51).jpg,,,SHARPXS0861,,12/3/2019 6:03:09 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-2 (23).jpg,C:\Users\gerardo\Documents\Image1-2 (51).jpg,,,SHARPXS0862,,12/3/2019 6:03:26 AM,,No,PG3 East Exit
DJDN92,C:\Users\gerardo\Documents\Image0-3 (20).jpg,C:\Users\gerardo\Documents\Image1-3 (51).jpg,,,SHARPXS0861,,12/3/2019 6:03:32 AM,,No,PG3 East Entry
DGDQ11,C:\Users\gerardo\Documents\Image0-4 (21).jpg,C:\Users\gerardo\Documents\Image1-4 (51).jpg,,,SHARPXS0861,,12/3/2019 6:04:26 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-2 (23).jpg,C:\Users\gerardo\Documents\Image1-5 (51).jpg,,,SHARPXS0861,,12/3/2019 6:05:41 AM,,No,PG3 North East Entry
R60JGK,C:\Users\gerardo\Documents\Image0-6 (19).jpg,C:\Users\gerardo\Documents\Image1-6 (51).jpg,,,SHARPXS0861,,12/3/2019 6:05:48 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-2 (23).jpg,C:\Users\gerardo\Documents\Image1-7 (51).jpg,,,SHARPXS0861,,12/3/2019 6:08:45 AM,,No,PG3 East Entry
LLQN60,C:\Users\gerardo\Documents\Image0-8 (19).jpg,C:\Users\gerardo\Documents\Image1-8 (51).jpg,,,SHARPXS0861,,12/3/2019 6:08:55 AM,,No,PG3 East Entry
JQHZ39,C:\Users\gerardo\Documents\Image0-9 (20).jpg,C:\Users\gerardo\Documents\Image1-9 (51).jpg,,,SHARPXS0861,,12/3/2019 6:09:28 AM,,No,PG3 North East Entry
3799D,C:\Users\gerardo\Documents\Image0-10 (18).jpg,C:\Users\gerardo\Documents\Image1-10 (51).jpg,,,SHARPXS0862,,12/3/2019 6:12:17 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-2 (23).jpg,C:\Users\gerardo\Documents\Image1-11 (51).jpg,,,SHARPXS0861,,12/3/2019 6:15:29 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-2 (23).jpg,C:\Users\gerardo\Documents\Image1-12 (50).jpg,,,SHARPXS0862,,12/3/2019 6:16:44 AM,,No,PG3 East Exit
CHPB49,C:\Users\gerardo\Documents\Image0-13 (20).jpg,C:\Users\gerardo\Documents\Image1-13 (50).jpg,,,SHARPXS0861,,12/3/2019 6:16:49 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-14 (20).jpg,C:\Users\gerardo\Documents\Image1-14 (50).jpg,,,SHARPV03682,,12/3/2019 6:18:23 AM,,No,PG3 South East Exit
IXZH97,C:\Users\gerardo\Documents\Image0-15 (19).jpg,C:\Users\gerardo\Documents\Image1-15 (50).jpg,,,SHARPXS0861,,12/3/2019 6:18:37 AM,,No,PG3 East Entry
DBDQ80,C:\Users\gerardo\Documents\Image0-16 (20).jpg,C:\Users\gerardo\Documents\Image1-16 (50).jpg,,,SHARPXS0862,,12/3/2019 6:19:07 AM,,No,PG3 East Exit
Z53CNU,C:\Users\gerardo\Documents\Image0-17 (19).jpg,C:\Users\gerardo\Documents\Image1-17 (50).jpg,,,SHARPXS0861,,12/3/2019 6:32:15 AM,,No,PG3 East Entry
FKS8574,C:\Users\gerardo\Documents\Image0-18 (21).jpg,C:\Users\gerardo\Documents\Image1-18 (50).jpg,,,SHARPXS0861,,12/3/2019 6:35:08 AM,,No,PG3 East Entry
431317,C:\Users\gerardo\Documents\Image0-19 (17).jpg,C:\Users\gerardo\Documents\Image1-19 (50).jpg,,,SHARPXS0861,,12/3/2019 6:36:38 AM,,No,PG3 East Entry
