Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
Y6934,C:\Users\gerardo\Documents\Image0-0 (69).jpg,C:\Users\gerardo\Documents\Image1-0 (69).jpg,,,SHARPV03682,,12/6/2019 6:00:53 AM,,No,PG3 South East Exit
37996,C:\Users\gerardo\Documents\Image0-1 (39).jpg,C:\Users\gerardo\Documents\Image1-1 (69).jpg,,,SHARPXS0862,,12/6/2019 6:01:11 AM,,No,PG3 East Exit
LWVT74,C:\Users\gerardo\Documents\Image0-2 (41).jpg,C:\Users\gerardo\Documents\Image1-2 (69).jpg,,,SHARPXS0861,,12/6/2019 6:03:03 AM,,No,PG3 East Entry
GRKP05,C:\Users\gerardo\Documents\Image0-3 (38).jpg,C:\Users\gerardo\Documents\Image1-3 (69).jpg,,,SHARPXS0861,,12/6/2019 6:05:04 AM,,No,PG3 East Entry
NJHD69,C:\Users\gerardo\Documents\Image0-4 (38).jpg,C:\Users\gerardo\Documents\Image1-4 (69).jpg,,,SHARPXS0861,,12/6/2019 6:08:00 AM,,No,PG3 East Entry
JRCW80,C:\Users\gerardo\Documents\Image0-5 (40).jpg,C:\Users\gerardo\Documents\Image1-5 (69).jpg,,,SHARPXS0861,,12/6/2019 6:09:48 AM,,No,PG3 East Entry
DBDQ80,C:\Users\gerardo\Documents\Image0-6 (35).jpg,C:\Users\gerardo\Documents\Image1-6 (69).jpg,,,SHARPXS0862,,12/6/2019 6:18:13 AM,,No,PG3 East Exit
EWCU16,C:\Users\gerardo\Documents\Image0-7 (38).jpg,C:\Users\gerardo\Documents\Image1-7 (69).jpg,,,SHARPXS0862,,12/6/2019 6:18:18 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (35).jpg,C:\Users\gerardo\Documents\Image1-8 (69).jpg,,,SHARPXS0861,,12/6/2019 6:23:41 AM,,No,PG3 North East Entry
37996,C:\Users\gerardo\Documents\Image0-9 (37).jpg,C:\Users\gerardo\Documents\Image1-9 (69).jpg,,,SHARPV03682,,12/6/2019 6:24:47 AM,,No,PG3 South East Exit
DQII62,C:\Users\gerardo\Documents\Image0-10 (34).jpg,C:\Users\gerardo\Documents\Image1-10 (69).jpg,,,SHARPV03682,,12/6/2019 6:25:14 AM,,No,PG3 South East Exit
CQZT86,C:\Users\gerardo\Documents\Image0-11 (35).jpg,C:\Users\gerardo\Documents\Image1-11 (69).jpg,,,SHARPXS0861,,12/6/2019 6:25:39 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (35).jpg,C:\Users\gerardo\Documents\Image1-12 (68).jpg,,,SHARPXS0862,,12/6/2019 6:26:00 AM,,No,PG3 East Exit
HTNT26,C:\Users\gerardo\Documents\Image0-13 (38).jpg,C:\Users\gerardo\Documents\Image1-13 (68).jpg,,,SHARPXS0861,,12/6/2019 6:34:44 AM,,No,PG3 East Entry
BKVI13,C:\Users\gerardo\Documents\Image0-14 (38).jpg,C:\Users\gerardo\Documents\Image1-14 (68).jpg,,,SHARPXS0861,,12/6/2019 6:35:16 AM,,No,PG3 East Entry
431317,C:\Users\gerardo\Documents\Image0-15 (36).jpg,C:\Users\gerardo\Documents\Image1-15 (68).jpg,,,SHARPXS0861,,12/6/2019 6:35:40 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (35).jpg,C:\Users\gerardo\Documents\Image1-16 (68).jpg,,,SHARPXS0861,,12/6/2019 6:37:24 AM,,No,PG3 East Entry
DBIH15,C:\Users\gerardo\Documents\Image0-17 (35).jpg,C:\Users\gerardo\Documents\Image1-17 (68).jpg,,,SHARPXS0861,,12/6/2019 6:38:07 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-18 (39).jpg,C:\Users\gerardo\Documents\Image1-18 (68).jpg,,,SHARPV03287,,12/6/2019 6:39:14 AM,,No,PG3 West Exit
358YMW,C:\Users\gerardo\Documents\Image0-19 (35).jpg,C:\Users\gerardo\Documents\Image1-19 (68).jpg,,,SHARPXS0861,,12/6/2019 6:39:35 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (35).jpg,C:\Users\gerardo\Documents\Image1-20 (68).jpg,,,SHARPXS0862,,12/6/2019 6:39:58 AM,,No,PG3 East Exit
LAPK83,C:\Users\gerardo\Documents\Image0-21 (35).jpg,C:\Users\gerardo\Documents\Image1-21 (68).jpg,,,SHARPXS0861,,12/6/2019 6:40:54 AM,,No,PG3 East Entry
GCSG13,C:\Users\gerardo\Documents\Image0-22 (39).jpg,C:\Users\gerardo\Documents\Image1-22 (68).jpg,,,SHARPXS0861,,12/6/2019 6:45:21 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (35).jpg,C:\Users\gerardo\Documents\Image1-23 (68).jpg,,,SHARPXS0861,,12/6/2019 6:45:37 AM,,No,PG3 East Entry
GCSG13,C:\Users\gerardo\Documents\Image0-24 (35).jpg,C:\Users\gerardo\Documents\Image1-24 (68).jpg,,,SHARPXS0862,,12/6/2019 6:45:43 AM,,No,PG3 East Exit
