Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
AKKZ51,C:\Users\gerardo\Documents\Image0-0 (52).jpg,C:\Users\gerardo\Documents\Image1-0 (52).jpg,,,SHARPV03090,,12/3/2019 6:00:04 AM,,No,PG4 East Entry
KWXR11,C:\Users\gerardo\Documents\Image0-1 (22).jpg,C:\Users\gerardo\Documents\Image1-1 (52).jpg,,,SHARPV03090,,12/3/2019 6:00:47 AM,,No,PG4 East Entry
JNTA12,C:\Users\gerardo\Documents\Image0-2 (24).jpg,C:\Users\gerardo\Documents\Image1-2 (52).jpg,,,SHARP30836,,12/3/2019 6:01:33 AM,,No,PG4 West Entry
IAWB62,C:\Users\gerardo\Documents\Image0-3 (21).jpg,C:\Users\gerardo\Documents\Image1-3 (52).jpg,,,SHARP30836,,12/3/2019 6:03:08 AM,,No,PG4 West Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (22).jpg,C:\Users\gerardo\Documents\Image1-4 (52).jpg,,,SHARPV03066,,12/3/2019 6:04:14 AM,,No,PG4 South East Exit
HRWD05,C:\Users\gerardo\Documents\Image0-5 (23).jpg,C:\Users\gerardo\Documents\Image1-5 (52).jpg,,,SHARP30836,,12/3/2019 6:04:24 AM,,No,PG4 West Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (22).jpg,C:\Users\gerardo\Documents\Image1-6 (52).jpg,,,SHARPV03090,,12/3/2019 6:04:28 AM,,No,PG4 East Entry
JIXE61,C:\Users\gerardo\Documents\Image0-7 (21).jpg,C:\Users\gerardo\Documents\Image1-7 (52).jpg,,,SHARP30836,,12/3/2019 6:05:30 AM,,No,PG4 West Entry
IPIG41,C:\Users\gerardo\Documents\Image0-8 (20).jpg,C:\Users\gerardo\Documents\Image1-8 (52).jpg,,,SHARP30836,,12/3/2019 6:05:49 AM,,No,PG4 West Entry
LJIR06,C:\Users\gerardo\Documents\Image0-9 (21).jpg,C:\Users\gerardo\Documents\Image1-9 (52).jpg,,,SHARP30836,,12/3/2019 6:05:59 AM,,No,PG4 West Entry
LTQW15,C:\Users\gerardo\Documents\Image0-10 (19).jpg,C:\Users\gerardo\Documents\Image1-10 (52).jpg,,,SHARPV03090,,12/3/2019 6:11:42 AM,,No,PG4 East Entry
GALU92,C:\Users\gerardo\Documents\Image0-11 (18).jpg,C:\Users\gerardo\Documents\Image1-11 (52).jpg,,,SHARP30836,,12/3/2019 6:16:52 AM,,No,PG4 West Entry
KQZK47,C:\Users\gerardo\Documents\Image0-12 (19).jpg,C:\Users\gerardo\Documents\Image1-12 (51).jpg,,,SHARPV03090,,12/3/2019 6:20:16 AM,,No,PG4 East Entry
201RSG,C:\Users\gerardo\Documents\Image0-13 (21).jpg,C:\Users\gerardo\Documents\Image1-13 (51).jpg,,,SHARP30836,,12/3/2019 6:20:52 AM,,No,PG4 West Entry
AREZ89,C:\Users\gerardo\Documents\Image0-14 (21).jpg,C:\Users\gerardo\Documents\Image1-14 (51).jpg,,,SHARPV03090,,12/3/2019 6:21:41 AM,,No,PG4 East Entry
LSWI28,C:\Users\gerardo\Documents\Image0-15 (20).jpg,C:\Users\gerardo\Documents\Image1-15 (51).jpg,,,SHARPV03090,,12/3/2019 6:22:08 AM,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (22).jpg,C:\Users\gerardo\Documents\Image1-16 (51).jpg,,,SHARPV03066,,12/3/2019 6:24:35 AM,,No,PG4 South East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (22).jpg,C:\Users\gerardo\Documents\Image1-17 (51).jpg,,,SHARPV03066,,12/3/2019 6:24:41 AM,,No,PG4 South East Exit
GTDV36,C:\Users\gerardo\Documents\Image0-18 (22).jpg,C:\Users\gerardo\Documents\Image1-18 (51).jpg,,,SHARP30836,,12/3/2019 6:25:29 AM,,No,PG4 West Entry
JPRL12,C:\Users\gerardo\Documents\Image0-19 (18).jpg,C:\Users\gerardo\Documents\Image1-19 (51).jpg,,,SHARP30836,,12/3/2019 6:27:11 AM,,No,PG4 West Entry
LYSS94,C:\Users\gerardo\Documents\Image0-20 (22).jpg,C:\Users\gerardo\Documents\Image1-20 (51).jpg,,,SHARPV03090,,12/3/2019 6:27:46 AM,,No,PG4 East Entry
GIWF16,C:\Users\gerardo\Documents\Image0-21 (20).jpg,C:\Users\gerardo\Documents\Image1-21 (51).jpg,,,SHARPV03090,,12/3/2019 6:27:59 AM,,No,PG4 East Entry
EDCE66,C:\Users\gerardo\Documents\Image0-22 (22).jpg,C:\Users\gerardo\Documents\Image1-22 (51).jpg,,,SHARPV03090,,12/3/2019 6:28:10 AM,,No,PG4 East Entry
DHZY38,C:\Users\gerardo\Documents\Image0-23 (19).jpg,C:\Users\gerardo\Documents\Image1-23 (51).jpg,,,SHARP30836,,12/3/2019 6:28:39 AM,,No,PG4 West Entry
JFTC51,C:\Users\gerardo\Documents\Image0-24 (18).jpg,C:\Users\gerardo\Documents\Image1-24 (51).jpg,,,SHARP30836,,12/3/2019 6:31:36 AM,,No,PG4 West Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (22).jpg,C:\Users\gerardo\Documents\Image1-25 (51).jpg,,,SHARPV03090,,12/3/2019 6:34:18 AM,,No,PG4 East Entry
GZQC47,C:\Users\gerardo\Documents\Image0-26 (20).jpg,C:\Users\gerardo\Documents\Image1-26 (51).jpg,,,SHARPV03090,,12/3/2019 6:36:55 AM,,No,PG4 East Entry
IFJK46,C:\Users\gerardo\Documents\Image0-27 (22).jpg,C:\Users\gerardo\Documents\Image1-27 (51).jpg,,,SHARPV03090,,12/3/2019 6:36:59 AM,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-4 (22).jpg,C:\Users\gerardo\Documents\Image1-28 (51).jpg,,,SHARPV03090,,12/3/2019 6:37:15 AM,,No,PG4 East Entry
KMLR68,C:\Users\gerardo\Documents\Image0-29 (19).jpg,C:\Users\gerardo\Documents\Image1-29 (51).jpg,,,SHARPV03090,,12/3/2019 6:37:31 AM,,No,PG4 East Entry
NJKL73,C:\Users\gerardo\Documents\Image0-30 (19).jpg,C:\Users\gerardo\Documents\Image1-30 (51).jpg,,,SHARP30836,,12/3/2019 6:37:49 AM,,No,PG4 West Entry
KMLR68,C:\Users\gerardo\Documents\Image0-31 (21).jpg,C:\Users\gerardo\Documents\Image1-31 (51).jpg,,,SHARPV04613,,12/3/2019 6:39:40 AM,,No,PG4 East Exit
GNSQ32,C:\Users\gerardo\Documents\Image0-32 (22).jpg,C:\Users\gerardo\Documents\Image1-32 (50).jpg,,,SHARP30836,,12/3/2019 6:40:37 AM,,No,PG4 West Entry
HUFT08,C:\Users\gerardo\Documents\Image0-33 (20).jpg,C:\Users\gerardo\Documents\Image1-33 (50).jpg,,,SHARPV03090,,12/3/2019 6:40:39 AM,,No,PG4 East Entry
5T01398,C:\Users\gerardo\Documents\Image0-34 (20).jpg,C:\Users\gerardo\Documents\Image1-34 (49).jpg,,,SHARPV03066,,12/3/2019 6:41:53 AM,,No,PG4 South East Exit
JFWA45,C:\Users\gerardo\Documents\Image0-35 (22).jpg,C:\Users\gerardo\Documents\Image1-35 (49).jpg,,,SHARP30836,,12/3/2019 6:42:55 AM,,No,PG4 West Entry
GSRY30,C:\Users\gerardo\Documents\Image0-36 (19).jpg,C:\Users\gerardo\Documents\Image1-36 (49).jpg,,,SHARPV03090,,12/3/2019 6:43:54 AM,,No,PG4 East Entry
BAAS03,C:\Users\gerardo\Documents\Image0-37 (20).jpg,C:\Users\gerardo\Documents\Image1-37 (49).jpg,,,SHARP30836,,12/3/2019 6:46:58 AM,,No,PG4 West Entry
BBGV15,C:\Users\gerardo\Documents\Image0-38 (20).jpg,C:\Users\gerardo\Documents\Image1-38 (49).jpg,,,SHARPV03090,,12/3/2019 6:47:03 AM,,No,PG4 East Entry
GVVL53,C:\Users\gerardo\Documents\Image0-39 (18).jpg,C:\Users\gerardo\Documents\Image1-39 (49).jpg,,,SHARP30836,,12/3/2019 6:48:11 AM,,No,PG4 West Entry
BDWA05,C:\Users\gerardo\Documents\Image0-40 (22).jpg,C:\Users\gerardo\Documents\Image1-40 (49).jpg,,,SHARP30836,,12/3/2019 6:48:33 AM,,No,PG4 West Entry
GLRY20,C:\Users\gerardo\Documents\Image0-41 (19).jpg,C:\Users\gerardo\Documents\Image1-41 (49).jpg,,,SHARP30836,,12/3/2019 6:49:15 AM,,No,PG4 West Entry
AD5365,C:\Users\gerardo\Documents\Image0-42 (20).jpg,C:\Users\gerardo\Documents\Image1-42 (49).jpg,,,SHARPV03090,,12/3/2019 6:50:09 AM,,No,PG4 East Entry
ETIS32,C:\Users\gerardo\Documents\Image0-43 (22).jpg,C:\Users\gerardo\Documents\Image1-43 (49).jpg,,,SHARPV03090,,12/3/2019 6:50:27 AM,,No,PG4 East Entry
HCLF76,C:\Users\gerardo\Documents\Image0-44 (21).jpg,C:\Users\gerardo\Documents\Image1-44 (48).jpg,,,SHARP30836,,12/3/2019 6:50:42 AM,,No,PG4 West Entry
IDYB48,C:\Users\gerardo\Documents\Image0-45 (22).jpg,C:\Users\gerardo\Documents\Image1-45 (48).jpg,,,SHARPV03090,,12/3/2019 6:50:49 AM,,No,PG4 East Entry
