Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
GAMQ04,C:\Users\gerardo\Documents\Image0-0 (55).jpg,C:\Users\gerardo\Documents\Image1-0 (55).jpg,,,SHARPXS0832,,12/4/2019 6:00:29 AM,,No,PG1 East (Center) Entry
BDPM25,C:\Users\gerardo\Documents\Image0-1 (25).jpg,C:\Users\gerardo\Documents\Image1-1 (55).jpg,,,SHARPXS0832,,12/4/2019 6:00:56 AM,,No,PG1 East (Center) Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-2 (27).jpg,C:\Users\gerardo\Documents\Image1-2 (55).jpg,,,SHARPXS0832,,12/4/2019 6:00:58 AM,,No,PG1 East Entry
JNUC15,C:\Users\gerardo\Documents\Image0-3 (24).jpg,C:\Users\gerardo\Documents\Image1-3 (55).jpg,,,SHARPXS0832,,12/4/2019 6:03:49 AM,,No,PG1 East Entry
BTTV96,C:\Users\gerardo\Documents\Image0-4 (25).jpg,C:\Users\gerardo\Documents\Image1-4 (55).jpg,,,SHARPXS0832,,12/4/2019 6:05:31 AM,,No,PG1 East (Center) Entry
29TFH,C:\Users\gerardo\Documents\Image0-5 (26).jpg,C:\Users\gerardo\Documents\Image1-5 (55).jpg,,,SHARPXS1385,,12/4/2019 6:06:06 AM,,No,PG1 SW (Center) Entry
KNTL12,C:\Users\gerardo\Documents\Image0-6 (22).jpg,C:\Users\gerardo\Documents\Image1-6 (55).jpg,,,SHARPXS0832,,12/4/2019 6:07:10 AM,,No,PG1 East (Center) Entry
HKIQ48,C:\Users\gerardo\Documents\Image0-7 (24).jpg,C:\Users\gerardo\Documents\Image1-7 (55).jpg,,,SHARPXS0832,,12/4/2019 6:10:10 AM,,No,PG1 East (Center) Entry
JPRJ79,C:\Users\gerardo\Documents\Image0-8 (23).jpg,C:\Users\gerardo\Documents\Image1-8 (55).jpg,,,SHARPXS0831,,12/4/2019 6:11:56 AM,,No,PG1 East Exit
GUDJ55,C:\Users\gerardo\Documents\Image0-9 (24).jpg,C:\Users\gerardo\Documents\Image1-9 (55).jpg,,,SHARPXS0832,,12/4/2019 6:11:57 AM,,No,PG1 East (Center) Entry
