Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (45).jpg,C:\Users\gerardo\Documents\Image1-0 (45).jpg,,,SHARPV03682,,12/2/2019 6:04:11 AM,,No,PG3 South East Exit
EFTX30,C:\Users\gerardo\Documents\Image0-1 (15).jpg,C:\Users\gerardo\Documents\Image1-1 (45).jpg,,,SHARPXS0861,,12/2/2019 6:06:31 AM,,No,PG3 North East Entry
GRKP05,C:\Users\gerardo\Documents\Image0-2 (17).jpg,C:\Users\gerardo\Documents\Image1-2 (45).jpg,,,SHARPXS0861,,12/2/2019 6:07:00 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (14).jpg,C:\Users\gerardo\Documents\Image1-3 (45).jpg,,,SHARPXS0861,,12/2/2019 6:13:09 AM,,No,PG3 North East Entry
37996,C:\Users\gerardo\Documents\Image0-4 (15).jpg,C:\Users\gerardo\Documents\Image1-4 (45).jpg,,,SHARPXS0862,,12/2/2019 6:14:58 AM,,No,PG3 East Exit
DBDQ80,C:\Users\gerardo\Documents\Image0-5 (17).jpg,C:\Users\gerardo\Documents\Image1-5 (45).jpg,,,SHARPXS0862,,12/2/2019 6:16:28 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (14).jpg,C:\Users\gerardo\Documents\Image1-6 (45).jpg,,,SHARPXS0862,,12/2/2019 6:17:57 AM,,No,PG3 East Exit
BIUK20,C:\Users\gerardo\Documents\Image0-7 (15).jpg,C:\Users\gerardo\Documents\Image1-7 (45).jpg,,,SHARPXS0861,,12/2/2019 6:18:03 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (14).jpg,C:\Users\gerardo\Documents\Image1-8 (45).jpg,,,SHARPXS0861,,12/2/2019 6:18:05 AM,,No,PG3 East Entry
LPR44,C:\Users\gerardo\Documents\Image0-9 (14).jpg,C:\Users\gerardo\Documents\Image1-9 (45).jpg,,,SHARPXS0861,,12/2/2019 6:18:06 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (45).jpg,C:\Users\gerardo\Documents\Image1-10 (45).jpg,,,SHARPV03682,,12/2/2019 6:19:02 AM,,No,PG3 South East Exit
EWCU16,C:\Users\gerardo\Documents\Image0-11 (12).jpg,C:\Users\gerardo\Documents\Image1-11 (45).jpg,,,SHARPV03682,,12/2/2019 6:20:43 AM,,No,PG3 South East Exit
LLPR44,C:\Users\gerardo\Documents\Image0-12 (14).jpg,C:\Users\gerardo\Documents\Image1-12 (44).jpg,,,SHARPXS0862,,12/2/2019 6:20:57 AM,,No,PG3 East Exit
KBWD93,C:\Users\gerardo\Documents\Image0-13 (14).jpg,C:\Users\gerardo\Documents\Image1-13 (44).jpg,,,SHARPXS0861,,12/2/2019 6:22:24 AM,,No,PG3 North East Entry
CHPB49,C:\Users\gerardo\Documents\Image0-14 (14).jpg,C:\Users\gerardo\Documents\Image1-14 (44).jpg,,,SHARPXS0861,,12/2/2019 6:23:52 AM,,No,PG3 East Entry
CFUR84,C:\Users\gerardo\Documents\Image0-15 (14).jpg,C:\Users\gerardo\Documents\Image1-15 (44).jpg,,,SHARPV03287,,12/2/2019 6:25:55 AM,,No,PG3 West Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (14).jpg,C:\Users\gerardo\Documents\Image1-16 (44).jpg,,,SHARPXS0861,,12/2/2019 6:27:04 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (14).jpg,C:\Users\gerardo\Documents\Image1-17 (44).jpg,,,SHARPXS0862,,12/2/2019 6:27:10 AM,,No,PG3 East Exit
