Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (71).jpg,C:\Users\gerardo\Documents\Image1-0 (71).jpg,,,SHARPV04667,,12/6/2019 6:02:41 AM,,No,PG5 East Entry
1602YY,C:\Users\gerardo\Documents\Image0-1 (41).jpg,C:\Users\gerardo\Documents\Image1-1 (71).jpg,,,SHARPV06796,,12/6/2019 6:03:15 AM,,No,PG5 East Exit
GPPB45,C:\Users\gerardo\Documents\Image0-2 (43).jpg,C:\Users\gerardo\Documents\Image1-2 (71).jpg,,,SHARPV04650,,12/6/2019 6:05:31 AM,,No,PG5 West Entry
ICRC37,C:\Users\gerardo\Documents\Image0-3 (40).jpg,C:\Users\gerardo\Documents\Image1-3 (71).jpg,,,SHARPV04650,,12/6/2019 6:07:41 AM,,No,PG5 West Entry
833VXC,C:\Users\gerardo\Documents\Image0-4 (40).jpg,C:\Users\gerardo\Documents\Image1-4 (71).jpg,,,SHARPV04650,,12/6/2019 6:08:25 AM,,No,PG5 West Entry
LVSR56,C:\Users\gerardo\Documents\Image0-5 (42).jpg,C:\Users\gerardo\Documents\Image1-5 (71).jpg,,,SHARPV04650,,12/6/2019 6:11:27 AM,,No,PG5 West Entry
HRYD48,C:\Users\gerardo\Documents\Image0-6 (37).jpg,C:\Users\gerardo\Documents\Image1-6 (71).jpg,,,SHARPV04667,,12/6/2019 6:11:59 AM,,No,PG5 East Entry
YM143,C:\Users\gerardo\Documents\Image0-7 (40).jpg,C:\Users\gerardo\Documents\Image1-7 (71).jpg,,,SHARPV04667,,12/6/2019 6:12:04 AM,,No,PG5 East Entry
249TWH,C:\Users\gerardo\Documents\Image0-8 (37).jpg,C:\Users\gerardo\Documents\Image1-8 (71).jpg,,,SHARPV04650,,12/6/2019 6:12:21 AM,,No,PG5 West Entry
GUTL99,C:\Users\gerardo\Documents\Image0-9 (39).jpg,C:\Users\gerardo\Documents\Image1-9 (71).jpg,,,SHARPV04650,,12/6/2019 6:15:23 AM,,No,PG5 West Entry
JXWQ70,C:\Users\gerardo\Documents\Image0-10 (36).jpg,C:\Users\gerardo\Documents\Image1-10 (71).jpg,,,SHARPV04667,,12/6/2019 6:15:41 AM,,No,PG5 East Entry
KFHW02,C:\Users\gerardo\Documents\Image0-11 (37).jpg,C:\Users\gerardo\Documents\Image1-11 (71).jpg,,,SHARPV04650,,12/6/2019 6:16:01 AM,,No,PG5 West Entry
IXRU45,C:\Users\gerardo\Documents\Image0-12 (36).jpg,C:\Users\gerardo\Documents\Image1-12 (70).jpg,,,SHARPV04650,,12/6/2019 6:16:24 AM,,No,PG5 West Entry
DMGX53,C:\Users\gerardo\Documents\Image0-13 (40).jpg,C:\Users\gerardo\Documents\Image1-13 (70).jpg,,,SHARPV04650,,12/6/2019 6:16:39 AM,,No,PG5 West Entry
951YPE,C:\Users\gerardo\Documents\Image0-14 (40).jpg,C:\Users\gerardo\Documents\Image1-14 (70).jpg,,,SHARPV04650,,12/6/2019 6:17:38 AM,,No,PG5 West Entry
KMLU04,C:\Users\gerardo\Documents\Image0-15 (38).jpg,C:\Users\gerardo\Documents\Image1-15 (70).jpg,,,SHARPV04650,,12/6/2019 6:18:30 AM,,No,PG5 West Entry
ERIK65,C:\Users\gerardo\Documents\Image0-16 (37).jpg,C:\Users\gerardo\Documents\Image1-16 (70).jpg,,,SHARPV06796,,12/6/2019 6:18:53 AM,,No,PG5 East Exit
JYEH55,C:\Users\gerardo\Documents\Image0-17 (37).jpg,C:\Users\gerardo\Documents\Image1-17 (70).jpg,,,SHARPV03069,,12/6/2019 6:19:47 AM,,No,PG5 West Exit
EFCB72,C:\Users\gerardo\Documents\Image0-18 (40).jpg,C:\Users\gerardo\Documents\Image1-18 (70).jpg,,,SHARPV04667,,12/6/2019 6:20:27 AM,,No,PG5 East Entry
BLLY94,C:\Users\gerardo\Documents\Image0-19 (36).jpg,C:\Users\gerardo\Documents\Image1-19 (70).jpg,,,SHARPV04667,,12/6/2019 6:21:11 AM,,No,PG5 East Entry
BFUQ85,C:\Users\gerardo\Documents\Image0-20 (38).jpg,C:\Users\gerardo\Documents\Image1-20 (70).jpg,,,SHARPV04650,,12/6/2019 6:21:18 AM,,No,PG5 West Entry
AGKG68,C:\Users\gerardo\Documents\Image0-21 (37).jpg,C:\Users\gerardo\Documents\Image1-21 (70).jpg,,,SHARPV04650,,12/6/2019 6:21:43 AM,,No,PG5 West Entry
LAZQ04,C:\Users\gerardo\Documents\Image0-22 (41).jpg,C:\Users\gerardo\Documents\Image1-22 (70).jpg,,,SHARPV04667,,12/6/2019 6:22:06 AM,,No,PG5 East Entry
ITUD92,C:\Users\gerardo\Documents\Image0-23 (36).jpg,C:\Users\gerardo\Documents\Image1-23 (70).jpg,,,SHARPV04667,,12/6/2019 6:22:45 AM,,No,PG5 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (71).jpg,C:\Users\gerardo\Documents\Image1-24 (70).jpg,,,SHARPV04667,,12/6/2019 6:25:15 AM,,No,PG5 East Entry
940YJJ,C:\Users\gerardo\Documents\Image0-25 (35).jpg,C:\Users\gerardo\Documents\Image1-25 (70).jpg,,,SHARPV04667,,12/6/2019 6:25:19 AM,,No,PG5 East Entry
KGEQ47,C:\Users\gerardo\Documents\Image0-26 (38).jpg,C:\Users\gerardo\Documents\Image1-26 (70).jpg,,,SHARPV04667,,12/6/2019 6:25:25 AM,,No,PG5 East Entry
JSUL12,C:\Users\gerardo\Documents\Image0-27 (40).jpg,C:\Users\gerardo\Documents\Image1-27 (70).jpg,,,SHARPV04650,,12/6/2019 6:25:30 AM,,No,PG5 West Entry
GRQU75,C:\Users\gerardo\Documents\Image0-28 (37).jpg,C:\Users\gerardo\Documents\Image1-28 (70).jpg,,,SHARPV04650,,12/6/2019 6:25:33 AM,,No,PG5 West Entry
JYWE90,C:\Users\gerardo\Documents\Image0-29 (37).jpg,C:\Users\gerardo\Documents\Image1-29 (70).jpg,,,SHARPV04650,,12/6/2019 6:27:12 AM,,No,PG5 West Entry
146PHC,C:\Users\gerardo\Documents\Image0-30 (35).jpg,C:\Users\gerardo\Documents\Image1-30 (70).jpg,,,SHARPV04650,,12/6/2019 6:27:47 AM,,No,PG5 West Entry
JUWL65,C:\Users\gerardo\Documents\Image0-31 (39).jpg,C:\Users\gerardo\Documents\Image1-31 (70).jpg,,,SHARPV04650,,12/6/2019 6:28:00 AM,,No,PG5 West Entry
DIYJ32,C:\Users\gerardo\Documents\Image0-32 (41).jpg,C:\Users\gerardo\Documents\Image1-32 (69).jpg,,,SHARPV04667,,12/6/2019 6:29:03 AM,,No,PG5 East Entry
GZRG92,C:\Users\gerardo\Documents\Image0-33 (39).jpg,C:\Users\gerardo\Documents\Image1-33 (69).jpg,,,SHARPV04667,,12/6/2019 6:29:10 AM,,No,PG5 East Entry
IJUN38,C:\Users\gerardo\Documents\Image0-34 (39).jpg,C:\Users\gerardo\Documents\Image1-34 (68).jpg,,,SHARPV04650,,12/6/2019 6:31:23 AM,,No,PG5 West Entry
BYJN50,C:\Users\gerardo\Documents\Image0-35 (39).jpg,C:\Users\gerardo\Documents\Image1-35 (68).jpg,,,SHARPV04667,,12/6/2019 6:31:33 AM,,No,PG5 East Entry
BYAS48,C:\Users\gerardo\Documents\Image0-36 (36).jpg,C:\Users\gerardo\Documents\Image1-36 (68).jpg,,,SHARPV04650,,12/6/2019 6:31:36 AM,,No,PG5 West Entry
KWFX76,C:\Users\gerardo\Documents\Image0-37 (37).jpg,C:\Users\gerardo\Documents\Image1-37 (68).jpg,,,SHARPV04650,,12/6/2019 6:31:50 AM,,No,PG5 West Entry
GXKF68,C:\Users\gerardo\Documents\Image0-38 (38).jpg,C:\Users\gerardo\Documents\Image1-38 (68).jpg,,,SHARPV04650,,12/6/2019 6:33:32 AM,,No,PG5 West Entry
GSTG01,C:\Users\gerardo\Documents\Image0-39 (36).jpg,C:\Users\gerardo\Documents\Image1-39 (68).jpg,,,SHARPV04650,,12/6/2019 6:33:37 AM,,No,PG5 West Entry
CNYK52,C:\Users\gerardo\Documents\Image0-40 (41).jpg,C:\Users\gerardo\Documents\Image1-40 (68).jpg,,,SHARPV04667,,12/6/2019 6:35:04 AM,,No,PG5 East Entry
BFUU73,C:\Users\gerardo\Documents\Image0-41 (37).jpg,C:\Users\gerardo\Documents\Image1-41 (68).jpg,,,SHARPV04667,,12/6/2019 6:35:31 AM,,No,PG5 East Entry
LUEG25,C:\Users\gerardo\Documents\Image0-42 (37).jpg,C:\Users\gerardo\Documents\Image1-42 (68).jpg,,,SHARPV04650,,12/6/2019 6:36:04 AM,,No,PG5 West Entry
LXTH38,C:\Users\gerardo\Documents\Image0-43 (40).jpg,C:\Users\gerardo\Documents\Image1-43 (68).jpg,,,SHARPV04650,,12/6/2019 6:36:22 AM,,No,PG5 West Entry
L98ENU,C:\Users\gerardo\Documents\Image0-44 (39).jpg,C:\Users\gerardo\Documents\Image1-44 (67).jpg,,,SHARPV04650,,12/6/2019 6:37:00 AM,,No,PG5 West Entry
JHCA53,C:\Users\gerardo\Documents\Image0-45 (41).jpg,C:\Users\gerardo\Documents\Image1-45 (67).jpg,,,SHARPV04650,,12/6/2019 6:37:33 AM,,No,PG5 West Entry
GLSI12,C:\Users\gerardo\Documents\Image0-46 (40).jpg,C:\Users\gerardo\Documents\Image1-46 (67).jpg,,,SHARPV04650,,12/6/2019 6:37:36 AM,,No,PG5 West Entry
HUPC10,C:\Users\gerardo\Documents\Image0-47 (34).jpg,C:\Users\gerardo\Documents\Image1-47 (65).jpg,,,SHARPV04650,,12/6/2019 6:37:39 AM,,No,PG5 West Entry
AIYI68,C:\Users\gerardo\Documents\Image0-48 (37).jpg,C:\Users\gerardo\Documents\Image1-48 (65).jpg,,,SHARPV04650,,12/6/2019 6:38:03 AM,,No,PG5 West Entry
GQXQ21,C:\Users\gerardo\Documents\Image0-49 (37).jpg,C:\Users\gerardo\Documents\Image1-49 (65).jpg,,,SHARPV04650,,12/6/2019 6:38:32 AM,,No,PG5 West Entry
LVGF36,C:\Users\gerardo\Documents\Image0-50 (38).jpg,C:\Users\gerardo\Documents\Image1-50 (65).jpg,,,SHARPV04667,,12/6/2019 6:38:58 AM,,No,PG5 East Entry
LAYX17,C:\Users\gerardo\Documents\Image0-51 (37).jpg,C:\Users\gerardo\Documents\Image1-51 (65).jpg,,,SHARPV04667,,12/6/2019 6:40:07 AM,,No,PG5 East Entry
