Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
KVP16,C:\Users\gerardo\Documents\Image0-0 (54).jpg,C:\Users\gerardo\Documents\Image1-0 (54).jpg,,,SHARPV04650,,12/3/2019 6:00:01 AM,,No,PG5 West Entry
DLJ19,C:\Users\gerardo\Documents\Image0-1 (24).jpg,C:\Users\gerardo\Documents\Image1-1 (54).jpg,,,SHARPV04650,,12/3/2019 6:00:15 AM,,No,PG5 West Entry
IFMM77,C:\Users\gerardo\Documents\Image0-2 (26).jpg,C:\Users\gerardo\Documents\Image1-2 (54).jpg,,,SHARPV04667,,12/3/2019 6:03:18 AM,,No,PG5 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (23).jpg,C:\Users\gerardo\Documents\Image1-3 (54).jpg,,,SHARPV03069,,12/3/2019 6:03:46 AM,,No,PG5 West Exit
GUXN14,C:\Users\gerardo\Documents\Image0-4 (24).jpg,C:\Users\gerardo\Documents\Image1-4 (54).jpg,,,SHARPV04667,,12/3/2019 6:05:04 AM,,No,PG5 East Entry
JFTG35,C:\Users\gerardo\Documents\Image0-5 (25).jpg,C:\Users\gerardo\Documents\Image1-5 (54).jpg,,,SHARPV06796,,12/3/2019 6:05:52 AM,,No,PG5 East Exit
IAI500,C:\Users\gerardo\Documents\Image0-6 (21).jpg,C:\Users\gerardo\Documents\Image1-6 (54).jpg,,,SHARPV03069,,12/3/2019 6:06:20 AM,,No,PG5 West Exit
LVTR58,C:\Users\gerardo\Documents\Image0-7 (23).jpg,C:\Users\gerardo\Documents\Image1-7 (54).jpg,,,SHARPV04650,,12/3/2019 6:06:44 AM,,No,PG5 West Entry
GTDP46,C:\Users\gerardo\Documents\Image0-8 (22).jpg,C:\Users\gerardo\Documents\Image1-8 (54).jpg,,,SHARPV03069,,12/3/2019 6:07:55 AM,,No,PG5 West Exit
DQMB10,C:\Users\gerardo\Documents\Image0-9 (23).jpg,C:\Users\gerardo\Documents\Image1-9 (54).jpg,,,SHARPV04650,,12/3/2019 6:08:57 AM,,No,PG5 West Entry
KRMI19,C:\Users\gerardo\Documents\Image0-10 (21).jpg,C:\Users\gerardo\Documents\Image1-10 (54).jpg,,,SHARPV04650,,12/3/2019 6:09:03 AM,,No,PG5 West Entry
KMLU04,C:\Users\gerardo\Documents\Image0-11 (20).jpg,C:\Users\gerardo\Documents\Image1-11 (54).jpg,,,SHARPV04650,,12/3/2019 6:09:33 AM,,No,PG5 West Entry
L87LV,C:\Users\gerardo\Documents\Image0-12 (21).jpg,C:\Users\gerardo\Documents\Image1-12 (53).jpg,,,SHARPV04650,,12/3/2019 6:10:06 AM,,No,PG5 West Entry
HYQL25,C:\Users\gerardo\Documents\Image0-13 (23).jpg,C:\Users\gerardo\Documents\Image1-13 (53).jpg,,,SHARPV04650,,12/3/2019 6:10:09 AM,,No,PG5 West Entry
CJNX33,C:\Users\gerardo\Documents\Image0-14 (23).jpg,C:\Users\gerardo\Documents\Image1-14 (53).jpg,,,SHARPV04650,,12/3/2019 6:10:19 AM,,No,PG5 West Entry
CRFU97,C:\Users\gerardo\Documents\Image0-15 (22).jpg,C:\Users\gerardo\Documents\Image1-15 (53).jpg,,,SHARPV04650,,12/3/2019 6:13:45 AM,,No,PG5 West Entry
LTFI95,C:\Users\gerardo\Documents\Image0-16 (22).jpg,C:\Users\gerardo\Documents\Image1-16 (53).jpg,,,SHARPV03069,,12/3/2019 6:14:02 AM,,No,PG5 West Exit
833NXC,C:\Users\gerardo\Documents\Image0-17 (21).jpg,C:\Users\gerardo\Documents\Image1-17 (53).jpg,,,SHARPV04650,,12/3/2019 6:15:18 AM,,No,PG5 West Entry
XZT645,C:\Users\gerardo\Documents\Image0-18 (24).jpg,C:\Users\gerardo\Documents\Image1-18 (53).jpg,,,SHARPV04650,,12/3/2019 6:15:38 AM,,No,PG5 West Entry
LAZQ04,C:\Users\gerardo\Documents\Image0-19 (20).jpg,C:\Users\gerardo\Documents\Image1-19 (53).jpg,,,SHARPV04667,,12/3/2019 6:16:05 AM,,No,PG5 East Entry
JYEH55,C:\Users\gerardo\Documents\Image0-20 (24).jpg,C:\Users\gerardo\Documents\Image1-20 (53).jpg,,,SHARPV03069,,12/3/2019 6:16:41 AM,,No,PG5 West Exit
201RSG,C:\Users\gerardo\Documents\Image0-21 (22).jpg,C:\Users\gerardo\Documents\Image1-21 (53).jpg,,,SHARPV04650,,12/3/2019 6:16:49 AM,,No,PG5 West Entry
KFHW02,C:\Users\gerardo\Documents\Image0-22 (24).jpg,C:\Users\gerardo\Documents\Image1-22 (53).jpg,,,SHARPV04650,,12/3/2019 6:16:57 AM,,No,PG5 West Entry
201RSG,C:\Users\gerardo\Documents\Image0-23 (21).jpg,C:\Users\gerardo\Documents\Image1-23 (53).jpg,,,SHARPV06796,,12/3/2019 6:18:09 AM,,No,PG5 East Exit
GYT4058,C:\Users\gerardo\Documents\Image0-24 (20).jpg,C:\Users\gerardo\Documents\Image1-24 (53).jpg,,,SHARPV04650,,12/3/2019 6:18:33 AM,,No,PG5 West Entry
WP77F,C:\Users\gerardo\Documents\Image0-25 (19).jpg,C:\Users\gerardo\Documents\Image1-25 (53).jpg,,,SHARPV04650,,12/3/2019 6:20:38 AM,,No,PG5 West Entry
GRQU75,C:\Users\gerardo\Documents\Image0-26 (22).jpg,C:\Users\gerardo\Documents\Image1-26 (53).jpg,,,SHARPV04650,,12/3/2019 6:20:41 AM,,No,PG5 West Entry
BLLY94,C:\Users\gerardo\Documents\Image0-27 (24).jpg,C:\Users\gerardo\Documents\Image1-27 (53).jpg,,,SHARPV04667,,12/3/2019 6:22:56 AM,,No,PG5 East Entry
KBXQ28,C:\Users\gerardo\Documents\Image0-28 (22).jpg,C:\Users\gerardo\Documents\Image1-28 (53).jpg,,,SHARPV04650,,12/3/2019 6:25:08 AM,,No,PG5 West Entry
GXLT63,C:\Users\gerardo\Documents\Image0-29 (21).jpg,C:\Users\gerardo\Documents\Image1-29 (53).jpg,,,SHARPV04650,,12/3/2019 6:25:12 AM,,No,PG5 West Entry
JNJL30,C:\Users\gerardo\Documents\Image0-30 (21).jpg,C:\Users\gerardo\Documents\Image1-30 (53).jpg,,,SHARPV04667,,12/3/2019 6:26:06 AM,,No,PG5 East Entry
LVTI67,C:\Users\gerardo\Documents\Image0-31 (23).jpg,C:\Users\gerardo\Documents\Image1-31 (53).jpg,,,SHARPV04650,,12/3/2019 6:26:36 AM,,No,PG5 West Entry
8BV359,C:\Users\gerardo\Documents\Image0-32 (24).jpg,C:\Users\gerardo\Documents\Image1-32 (52).jpg,,,SHARPV04650,,12/3/2019 6:27:33 AM,,No,PG5 West Entry
LYFN16,C:\Users\gerardo\Documents\Image0-33 (22).jpg,C:\Users\gerardo\Documents\Image1-33 (52).jpg,,,SHARPV04650,,12/3/2019 6:27:55 AM,,No,PG5 West Entry
LKDC96,C:\Users\gerardo\Documents\Image0-34 (22).jpg,C:\Users\gerardo\Documents\Image1-34 (51).jpg,,,SHARPV04650,,12/3/2019 6:28:16 AM,,No,PG5 West Entry
LVTI67,C:\Users\gerardo\Documents\Image0-35 (24).jpg,C:\Users\gerardo\Documents\Image1-35 (51).jpg,,,SHARPV03069,,12/3/2019 6:28:18 AM,,No,PG5 West Exit
IHNK82,C:\Users\gerardo\Documents\Image0-36 (21).jpg,C:\Users\gerardo\Documents\Image1-36 (51).jpg,,,SHARPV04650,,12/3/2019 6:28:55 AM,,No,PG5 West Entry
CJTM60,C:\Users\gerardo\Documents\Image0-37 (22).jpg,C:\Users\gerardo\Documents\Image1-37 (51).jpg,,,SHARPV04650,,12/3/2019 6:29:26 AM,,No,PG5 West Entry
ILUW22,C:\Users\gerardo\Documents\Image0-38 (22).jpg,C:\Users\gerardo\Documents\Image1-38 (51).jpg,,,SHARPV04650,,12/3/2019 6:29:30 AM,,No,PG5 West Entry
X009,C:\Users\gerardo\Documents\Image0-39 (20).jpg,C:\Users\gerardo\Documents\Image1-39 (51).jpg,,,SHARPV04650,,12/3/2019 6:30:38 AM,,No,PG5 West Entry
DXWG73,C:\Users\gerardo\Documents\Image0-40 (24).jpg,C:\Users\gerardo\Documents\Image1-40 (51).jpg,,,SHARPV04650,,12/3/2019 6:31:21 AM,,No,PG5 West Entry
GVDZ35,C:\Users\gerardo\Documents\Image0-41 (21).jpg,C:\Users\gerardo\Documents\Image1-41 (51).jpg,,,SHARPV04667,,12/3/2019 6:31:30 AM,,No,PG5 East Entry
LCIY42,C:\Users\gerardo\Documents\Image0-42 (22).jpg,C:\Users\gerardo\Documents\Image1-42 (51).jpg,,,SHARPV04667,,12/3/2019 6:31:43 AM,,No,PG5 East Entry
IWFF21,C:\Users\gerardo\Documents\Image0-43 (24).jpg,C:\Users\gerardo\Documents\Image1-43 (51).jpg,,,SHARPV04650,,12/3/2019 6:32:13 AM,,No,PG5 West Entry
LWNN50,C:\Users\gerardo\Documents\Image0-44 (23).jpg,C:\Users\gerardo\Documents\Image1-44 (50).jpg,,,SHARPV04650,,12/3/2019 6:32:30 AM,,No,PG5 West Entry
BTCY88,C:\Users\gerardo\Documents\Image0-45 (24).jpg,C:\Users\gerardo\Documents\Image1-45 (50).jpg,,,SHARPV04650,,12/3/2019 6:34:23 AM,,No,PG5 West Entry
L91GX,C:\Users\gerardo\Documents\Image0-46 (24).jpg,C:\Users\gerardo\Documents\Image1-46 (50).jpg,,,SHARPV04650,,12/3/2019 6:34:26 AM,,No,PG5 West Entry
RSV7K,C:\Users\gerardo\Documents\Image0-47 (20).jpg,C:\Users\gerardo\Documents\Image1-47 (48).jpg,,,SHARPV04650,,12/3/2019 6:34:30 AM,,No,PG5 West Entry
DQKN04,C:\Users\gerardo\Documents\Image0-48 (20).jpg,C:\Users\gerardo\Documents\Image1-48 (48).jpg,,,SHARPV04650,,12/3/2019 6:35:23 AM,,No,PG5 West Entry
JJE5311,C:\Users\gerardo\Documents\Image0-49 (22).jpg,C:\Users\gerardo\Documents\Image1-49 (48).jpg,,,SHARPV04650,,12/3/2019 6:35:44 AM,,No,PG5 West Entry
AYYF44,C:\Users\gerardo\Documents\Image0-50 (22).jpg,C:\Users\gerardo\Documents\Image1-50 (48).jpg,,,SHARPV04650,,12/3/2019 6:37:00 AM,,No,PG5 West Entry
FXM6951,C:\Users\gerardo\Documents\Image0-51 (22).jpg,C:\Users\gerardo\Documents\Image1-51 (48).jpg,,,SHARPV04650,,12/3/2019 6:37:03 AM,,No,PG5 West Entry
